emotion,local_pc,cos_gPC1,cos_gPC2,cos_gPC3,cos_gPC4,cos_vint,max_cos,best_match
joy,PC1,0.175,0.405,0.173,0.099,0.185,0.405,gPC2
joy,PC2,0.041,0.44,0.116,0.232,0.522,0.522,v_int
joy,PC3,0.438,0.102,0.215,0.314,0.036,0.438,gPC1
joy,PC4,0.011,0.08,0.044,0.003,0.265,0.265,v_int
joy,PC5,0.133,0.131,0.079,0.286,0.092,0.286,gPC4
joy,PC6,0.402,0.098,0.096,0.227,0.203,0.402,gPC1
trust,PC1,0.115,0.334,0.117,0.279,0.082,0.334,gPC2
trust,PC2,0.448,0.306,0.203,0.035,0.371,0.448,gPC1
trust,PC3,0.172,0.164,0.044,0.268,0.114,0.268,gPC4
trust,PC4,0.012,0.179,0.064,0.391,0.34,0.391,gPC4
trust,PC5,0.452,0.128,0.222,0.223,0.172,0.452,gPC1
trust,PC6,0.0,0.23,0.359,0.013,0.027,0.359,gPC3
fear,PC1,0.259,0.406,0.237,0.287,0.114,0.406,gPC2
fear,PC2,0.239,0.417,0.24,0.083,0.361,0.417,gPC2
fear,PC3,0.143,0.052,0.08,0.074,0.035,0.143,gPC1
fear,PC4,0.27,0.212,0.045,0.325,0.186,0.325,gPC4
fear,PC5,0.075,0.281,0.338,0.09,0.132,0.338,gPC3
fear,PC6,0.148,0.246,0.052,0.088,0.161,0.246,gPC2
surprise,PC1,0.064,0.569,0.193,0.018,0.432,0.569,gPC2
surprise,PC2,0.174,0.318,0.023,0.294,0.075,0.318,gPC2
surprise,PC3,0.126,0.256,0.116,0.238,0.174,0.256,gPC2
surprise,PC4,0.258,0.191,0.202,0.01,0.066,0.258,gPC1
surprise,PC5,0.131,0.268,0.109,0.22,0.098,0.268,gPC2
surprise,PC6,0.141,0.124,0.194,0.257,0.089,0.257,gPC4
sadness,PC1,0.218,0.402,0.069,0.17,0.03,0.402,gPC2
sadness,PC2,0.291,0.411,0.174,0.162,0.374,0.411,gPC2
sadness,PC3,0.0,0.087,0.055,0.207,0.027,0.207,gPC4
sadness,PC4,0.346,0.267,0.055,0.457,0.192,0.457,gPC4
sadness,PC5,0.067,0.074,0.08,0.15,0.177,0.177,v_int
sadness,PC6,0.143,0.183,0.034,0.02,0.137,0.183,gPC2
disgust,PC1,0.146,0.419,0.092,0.233,0.073,0.419,gPC2
disgust,PC2,0.309,0.316,0.157,0.025,0.38,0.38,v_int
disgust,PC3,0.154,0.11,0.077,0.197,0.058,0.197,gPC4
disgust,PC4,0.061,0.029,0.155,0.37,0.018,0.37,gPC4
disgust,PC5,0.294,0.098,0.226,0.043,0.079,0.294,gPC1
disgust,PC6,0.278,0.207,0.319,0.174,0.343,0.343,v_int
anger,PC1,0.201,0.315,0.019,0.267,0.0,0.315,gPC2
anger,PC2,0.199,0.521,0.202,0.039,0.415,0.521,gPC2
anger,PC3,0.174,0.222,0.095,0.143,0.144,0.222,gPC2
anger,PC4,0.165,0.036,0.254,0.01,0.283,0.283,v_int
anger,PC5,0.123,0.077,0.056,0.069,0.097,0.123,gPC1
anger,PC6,0.429,0.191,0.18,0.337,0.411,0.429,gPC1
anticipation,PC1,0.315,0.303,0.323,0.275,0.051,0.323,gPC3
anticipation,PC2,0.372,0.527,0.177,0.023,0.275,0.527,gPC2
anticipation,PC3,0.335,0.056,0.024,0.151,0.018,0.335,gPC1
anticipation,PC4,0.253,0.118,0.167,0.175,0.303,0.303,v_int
anticipation,PC5,0.008,0.02,0.258,0.165,0.198,0.258,gPC3
anticipation,PC6,0.265,0.254,0.245,0.267,0.225,0.267,gPC4
