target_emotion,steering_mode,alpha_g,alpha_r,n_rows,mean_text_length_chars,mean_text_length_words,mean_repetition_rate
anger,completion_tokens,-5.0,-5.0,3,358.0,71.0,0.26182180189148835
anger,completion_tokens,-5.0,-3.0,3,424.3333333333333,75.66666666666667,0.21270456503014643
anger,completion_tokens,-5.0,-1.5,3,329.6666666666667,65.33333333333333,0.2043804880830197
anger,completion_tokens,-5.0,1.5,3,348.6666666666667,67.0,0.20957001522070018
anger,completion_tokens,-5.0,3.0,3,413.0,73.66666666666667,0.21116700201207242
anger,completion_tokens,-5.0,5.0,3,393.3333333333333,76.33333333333333,0.3847747747747748
anger,completion_tokens,-3.0,-5.0,3,398.0,70.66666666666667,0.2065781440781441
anger,completion_tokens,-3.0,-3.0,3,371.0,70.33333333333333,0.21108099969888586
anger,completion_tokens,-3.0,-1.5,3,368.0,68.66666666666667,0.20974610974610974
anger,completion_tokens,-3.0,1.5,3,386.6666666666667,74.0,0.2313130243804896
anger,completion_tokens,-3.0,3.0,3,365.6666666666667,68.33333333333333,0.19368076210181473
anger,completion_tokens,-3.0,5.0,3,329.0,63.333333333333336,0.19716224042359556
anger,completion_tokens,3.0,-5.0,3,305.6666666666667,58.0,0.18537414965986396
anger,completion_tokens,3.0,-3.0,3,263.0,47.333333333333336,0.11118078781122258
anger,completion_tokens,3.0,-1.5,3,302.0,58.0,0.1426068926068926
anger,completion_tokens,3.0,1.5,3,291.3333333333333,56.0,0.2121403186976957
anger,completion_tokens,3.0,3.0,3,299.0,55.666666666666664,0.19062614092734573
anger,completion_tokens,3.0,5.0,3,240.33333333333334,44.666666666666664,0.16421062972787115
anger,completion_tokens,5.0,-5.0,3,257.3333333333333,48.333333333333336,0.20157126823793492
anger,completion_tokens,5.0,-3.0,3,279.6666666666667,51.333333333333336,0.16632020490738333
anger,completion_tokens,5.0,-1.5,3,218.66666666666666,39.333333333333336,0.10462962962962963
anger,completion_tokens,5.0,1.5,3,182.33333333333334,33.333333333333336,0.13091834789947995
anger,completion_tokens,5.0,3.0,3,256.3333333333333,48.333333333333336,0.23817944507599678
anger,completion_tokens,5.0,5.0,3,191.66666666666666,36.0,0.20330895158481363
anger,last_token,-5.0,-5.0,3,392.6666666666667,73.0,0.25000000000000006
anger,last_token,-5.0,-3.0,3,350.0,64.33333333333333,0.24027436486531484
anger,last_token,-5.0,-1.5,3,325.0,64.0,0.2236374770361298
anger,last_token,-5.0,1.5,3,373.6666666666667,70.0,0.22149219926997707
anger,last_token,-5.0,3.0,3,400.3333333333333,74.0,0.2038973038973039
anger,last_token,-5.0,5.0,3,397.3333333333333,75.33333333333333,0.44258169519589446
anger,last_token,-3.0,-5.0,3,341.3333333333333,64.66666666666667,0.21112798291421306
anger,last_token,-3.0,-3.0,3,339.3333333333333,63.666666666666664,0.1970899470899471
anger,last_token,-3.0,-1.5,3,374.6666666666667,71.66666666666667,0.22366522366522365
anger,last_token,-3.0,1.5,3,344.0,65.0,0.21541763058937688
anger,last_token,-3.0,3.0,3,371.3333333333333,69.33333333333333,0.1815445887228221
anger,last_token,-3.0,5.0,3,359.6666666666667,68.0,0.264937154348919
anger,last_token,3.0,-5.0,3,294.3333333333333,57.0,0.19309637730690363
anger,last_token,3.0,-3.0,3,277.3333333333333,51.666666666666664,0.1439896250022832
anger,last_token,3.0,-1.5,3,301.3333333333333,57.333333333333336,0.13182395777332487
anger,last_token,3.0,1.5,3,295.3333333333333,57.0,0.22076502732240433
anger,last_token,3.0,3.0,3,291.3333333333333,55.333333333333336,0.18314750844871322
anger,last_token,3.0,5.0,3,261.3333333333333,48.0,0.16801285915209965
anger,last_token,5.0,-5.0,3,273.0,52.0,0.20122563793449874
anger,last_token,5.0,-3.0,3,265.6666666666667,50.0,0.17068763678933171
anger,last_token,5.0,-1.5,3,228.0,42.333333333333336,0.1376002975716032
anger,last_token,5.0,1.5,3,169.66666666666666,32.666666666666664,0.12367534707960241
anger,last_token,5.0,3.0,3,201.66666666666666,38.333333333333336,0.19672090361745534
anger,last_token,5.0,5.0,3,170.66666666666666,32.0,0.18558651530787754
anticipation,completion_tokens,-5.0,-5.0,3,390.0,81.0,0.37105520267436226
anticipation,completion_tokens,-5.0,-3.0,3,375.3333333333333,71.66666666666667,0.26120274028051554
anticipation,completion_tokens,-5.0,-1.5,3,368.0,69.0,0.20448124717375635
anticipation,completion_tokens,-5.0,1.5,3,339.0,65.66666666666667,0.21535353535353532
anticipation,completion_tokens,-5.0,3.0,3,342.6666666666667,64.33333333333333,0.23739729069509216
anticipation,completion_tokens,-5.0,5.0,3,433.0,82.66666666666667,0.3409090909090909
anticipation,completion_tokens,-3.0,-5.0,3,390.3333333333333,76.66666666666667,0.2851315911449222
anticipation,completion_tokens,-3.0,-3.0,3,370.3333333333333,74.0,0.22685006177899447
anticipation,completion_tokens,-3.0,-1.5,3,365.0,71.0,0.1852795798578931
anticipation,completion_tokens,-3.0,1.5,3,368.6666666666667,69.66666666666667,0.20677986957056727
anticipation,completion_tokens,-3.0,3.0,3,327.0,60.666666666666664,0.2270887445887446
anticipation,completion_tokens,-3.0,5.0,3,326.6666666666667,62.0,0.22529271844340337
anticipation,completion_tokens,3.0,-5.0,3,334.6666666666667,65.33333333333333,0.35942982456140354
anticipation,completion_tokens,3.0,-3.0,3,320.6666666666667,62.333333333333336,0.3097640562248996
anticipation,completion_tokens,3.0,-1.5,3,312.3333333333333,58.333333333333336,0.1951238035962041
anticipation,completion_tokens,3.0,1.5,3,245.66666666666666,46.333333333333336,0.1311215061215061
anticipation,completion_tokens,3.0,3.0,3,275.3333333333333,48.666666666666664,0.16483516483516483
anticipation,completion_tokens,3.0,5.0,3,251.0,44.333333333333336,0.1580624098930329
anticipation,completion_tokens,5.0,-5.0,3,370.0,76.0,0.5474666342136222
anticipation,completion_tokens,5.0,-3.0,3,286.0,54.0,0.32525252525252524
anticipation,completion_tokens,5.0,-1.5,3,179.66666666666666,33.0,0.1473080223080223
anticipation,completion_tokens,5.0,1.5,3,209.66666666666666,36.666666666666664,0.1328042328042328
anticipation,completion_tokens,5.0,3.0,3,238.66666666666666,41.666666666666664,0.15290006988120197
anticipation,completion_tokens,5.0,5.0,3,142.66666666666666,25.666666666666668,0.061355311355311325
anticipation,last_token,-5.0,-5.0,3,380.0,76.0,0.3791933418693982
anticipation,last_token,-5.0,-3.0,3,376.0,74.33333333333333,0.22731437820628583
anticipation,last_token,-5.0,-1.5,3,346.6666666666667,68.33333333333333,0.21909197332926145
anticipation,last_token,-5.0,1.5,3,374.3333333333333,68.0,0.19718376861234002
anticipation,last_token,-5.0,3.0,3,419.3333333333333,76.0,0.24966216216216217
anticipation,last_token,-5.0,5.0,3,308.0,60.333333333333336,0.26396771037181993
anticipation,last_token,-3.0,-5.0,3,390.3333333333333,77.0,0.31445868945868943
anticipation,last_token,-3.0,-3.0,3,391.6666666666667,77.33333333333333,0.2675665788703541
anticipation,last_token,-3.0,-1.5,3,371.3333333333333,73.66666666666667,0.20665961945031716
anticipation,last_token,-3.0,1.5,3,358.6666666666667,67.33333333333333,0.19371702423741807
anticipation,last_token,-3.0,3.0,3,340.0,64.66666666666667,0.21826343085856026
anticipation,last_token,-3.0,5.0,3,319.6666666666667,60.333333333333336,0.18621212121212125
anticipation,last_token,3.0,-5.0,3,340.3333333333333,65.33333333333333,0.309349322673773
anticipation,last_token,3.0,-3.0,3,287.6666666666667,56.333333333333336,0.2974290122366298
anticipation,last_token,3.0,-1.5,3,269.6666666666667,51.0,0.22432700373674982
anticipation,last_token,3.0,1.5,3,306.3333333333333,58.0,0.20857753357753359
anticipation,last_token,3.0,3.0,3,254.66666666666666,46.666666666666664,0.13527013527013523
anticipation,last_token,3.0,5.0,3,194.33333333333334,35.0,0.1647673314339981
anticipation,last_token,5.0,-5.0,3,297.3333333333333,64.33333333333333,0.5869185120856854
anticipation,last_token,5.0,-3.0,3,232.66666666666666,46.333333333333336,0.32798742138364784
anticipation,last_token,5.0,-1.5,3,176.33333333333334,32.0,0.13699494949494948
anticipation,last_token,5.0,1.5,3,170.66666666666666,30.666666666666668,0.11822089947089949
anticipation,last_token,5.0,3.0,3,200.66666666666666,36.333333333333336,0.1277538710507926
anticipation,last_token,5.0,5.0,3,185.0,31.333333333333332,0.08761282290694057
disgust,completion_tokens,-5.0,-5.0,3,425.3333333333333,82.33333333333333,0.24252008032128514
disgust,completion_tokens,-5.0,-3.0,3,403.3333333333333,77.33333333333333,0.2624391410189532
disgust,completion_tokens,-5.0,-1.5,3,332.0,63.0,0.20709170709170707
disgust,completion_tokens,-5.0,1.5,3,262.3333333333333,53.666666666666664,0.15433290433290434
disgust,completion_tokens,-5.0,3.0,3,371.0,70.0,0.2559156378600823
disgust,completion_tokens,-5.0,5.0,3,400.3333333333333,76.33333333333333,0.39215389606625917
disgust,completion_tokens,-3.0,-5.0,3,376.0,70.66666666666667,0.23511886873349605
disgust,completion_tokens,-3.0,-3.0,3,384.3333333333333,71.0,0.2647186147186147
disgust,completion_tokens,-3.0,-1.5,3,376.3333333333333,73.0,0.22121212121212122
disgust,completion_tokens,-3.0,1.5,3,373.0,71.66666666666667,0.22890270925501277
disgust,completion_tokens,-3.0,3.0,3,383.6666666666667,75.0,0.24782160730055933
disgust,completion_tokens,-3.0,5.0,3,365.0,70.33333333333333,0.23696181138529146
disgust,completion_tokens,3.0,-5.0,3,291.0,52.333333333333336,0.17003637141634576
disgust,completion_tokens,3.0,-3.0,3,341.6666666666667,62.666666666666664,0.17457757296466972
disgust,completion_tokens,3.0,-1.5,3,274.6666666666667,51.666666666666664,0.149142737218618
disgust,completion_tokens,3.0,1.5,3,252.33333333333334,47.0,0.1708829365079365
disgust,completion_tokens,3.0,3.0,3,276.0,50.666666666666664,0.20483528605572365
disgust,completion_tokens,3.0,5.0,3,313.6666666666667,61.0,0.24283244087460953
disgust,completion_tokens,5.0,-5.0,3,226.66666666666666,39.666666666666664,0.17301587301587307
disgust,completion_tokens,5.0,-3.0,3,231.33333333333334,41.333333333333336,0.16077694235588977
disgust,completion_tokens,5.0,-1.5,3,213.66666666666666,35.666666666666664,0.12078237488073555
disgust,completion_tokens,5.0,1.5,3,256.0,49.666666666666664,0.23819946990678698
disgust,completion_tokens,5.0,3.0,3,270.3333333333333,50.333333333333336,0.2248917748917749
disgust,completion_tokens,5.0,5.0,3,234.33333333333334,50.0,0.48246709978344166
disgust,last_token,-5.0,-5.0,3,361.0,72.33333333333333,0.24413494405638947
