layer,e1,e2,cos_orig,cos_resid
8,joy,joy,0.0,0.0
8,joy,trust,0.0,0.0
8,joy,fear,0.0,0.0
8,joy,surprise,0.0,0.0
8,joy,sadness,0.0,0.0
8,joy,disgust,0.0,0.0
8,joy,anger,0.0,0.0
8,joy,anticipation,0.0,0.0
8,trust,joy,0.0,0.0
8,trust,trust,0.0,0.0
8,trust,fear,0.0,0.0
8,trust,surprise,0.0,0.0
8,trust,sadness,0.0,0.0
8,trust,disgust,0.0,0.0
8,trust,anger,0.0,0.0
8,trust,anticipation,0.0,0.0
8,fear,joy,0.0,0.0
8,fear,trust,0.0,0.0
8,fear,fear,0.0,0.0
8,fear,surprise,0.0,0.0
8,fear,sadness,0.0,0.0
8,fear,disgust,0.0,0.0
8,fear,anger,0.0,0.0
8,fear,anticipation,0.0,0.0
8,surprise,joy,0.0,0.0
8,surprise,trust,0.0,0.0
8,surprise,fear,0.0,0.0
8,surprise,surprise,0.0,0.0
8,surprise,sadness,0.0,0.0
8,surprise,disgust,0.0,0.0
8,surprise,anger,0.0,0.0
8,surprise,anticipation,0.0,0.0
8,sadness,joy,0.0,0.0
8,sadness,trust,0.0,0.0
8,sadness,fear,0.0,0.0
8,sadness,surprise,0.0,0.0
8,sadness,sadness,0.0,0.0
8,sadness,disgust,0.0,0.0
8,sadness,anger,0.0,0.0
8,sadness,anticipation,0.0,0.0
8,disgust,joy,0.0,0.0
8,disgust,trust,0.0,0.0
8,disgust,fear,0.0,0.0
8,disgust,surprise,0.0,0.0
8,disgust,sadness,0.0,0.0
8,disgust,disgust,0.0,0.0
8,disgust,anger,0.0,0.0
8,disgust,anticipation,0.0,0.0
8,anger,joy,0.0,0.0
8,anger,trust,0.0,0.0
8,anger,fear,0.0,0.0
8,anger,surprise,0.0,0.0
8,anger,sadness,0.0,0.0
8,anger,disgust,0.0,0.0
8,anger,anger,0.0,0.0
8,anger,anticipation,0.0,0.0
8,anticipation,joy,0.0,0.0
8,anticipation,trust,0.0,0.0
8,anticipation,fear,0.0,0.0
8,anticipation,surprise,0.0,0.0
8,anticipation,sadness,0.0,0.0
8,anticipation,disgust,0.0,0.0
8,anticipation,anger,0.0,0.0
8,anticipation,anticipation,0.0,0.0
10,joy,joy,1.000000238418579,1.0
10,joy,trust,0.9907236099243164,0.43249189853668213
10,joy,fear,0.9772495031356812,-0.6189266443252563
10,joy,surprise,0.9834874868392944,0.031310465186834335
10,joy,sadness,0.9844616055488586,-0.3492549657821655
10,joy,disgust,0.9803058505058289,-0.5293759703636169
10,joy,anger,0.9785306453704834,-0.5332149267196655
10,joy,anticipation,0.9894262552261353,0.23989760875701904
10,trust,joy,0.9907236099243164,0.43249189853668213
10,trust,trust,1.0,1.0000001192092896
10,trust,fear,0.9819568395614624,-0.2315436750650406
10,trust,surprise,0.9776431322097778,-0.26789698004722595
10,trust,sadness,0.9818481206893921,-0.5142397880554199
10,trust,disgust,0.9804376363754272,-0.4553459882736206
10,trust,anger,0.9775651693344116,-0.5399991273880005
10,trust,anticipation,0.9892669916152954,0.2618251442909241
10,fear,joy,0.9772495031356812,-0.6189266443252563
10,fear,trust,0.9819568395614624,-0.2315436750650406
10,fear,fear,1.0000001192092896,1.0
10,fear,surprise,0.979973316192627,-0.3068775534629822
10,fear,sadness,0.9920473694801331,0.21446675062179565
10,fear,disgust,0.9887174367904663,0.0035640564747154713
10,fear,anger,0.9878791570663452,0.021107293665409088
10,fear,anticipation,0.9896146059036255,0.14962099492549896
10,surprise,joy,0.9834874868392944,0.031310465186834335
10,surprise,trust,0.9776431322097778,-0.26789698004722595
10,surprise,fear,0.979973316192627,-0.3068775534629822
10,surprise,surprise,1.0,1.0
10,surprise,sadness,0.9843668937683105,-0.22142963111400604
10,surprise,disgust,0.9835305213928223,-0.15962743759155273
10,surprise,anger,0.9835796356201172,-0.07175412774085999
10,surprise,anticipation,0.9811950922012329,-0.24494872987270355
10,sadness,joy,0.9844616055488586,-0.3492549657821655
10,sadness,trust,0.9818481206893921,-0.5142397880554199
10,sadness,fear,0.9920473694801331,0.21446675062179565
10,sadness,surprise,0.9843668937683105,-0.22142963111400604
10,sadness,sadness,1.0000001192092896,0.9999998211860657
10,sadness,disgust,0.9940917491912842,0.3420150578022003
10,sadness,anger,0.9919320940971375,0.1982044279575348
10,sadness,anticipation,0.9877963066101074,-0.24858535826206207
10,disgust,joy,0.9803058505058289,-0.5293759703636169
10,disgust,trust,0.9804376363754272,-0.4553459882736206
10,disgust,fear,0.9887174367904663,0.0035640564747154713
10,disgust,surprise,0.9835305213928223,-0.15962743759155273
10,disgust,sadness,0.9940917491912842,0.3420150578022003
10,disgust,disgust,0.9999998807907104,0.9999999403953552
10,disgust,anger,0.9978461265563965,0.8125596046447754
10,disgust,anticipation,0.9813907146453857,-0.6784870028495789
10,anger,joy,0.9785306453704834,-0.5332149267196655
10,anger,trust,0.9775651693344116,-0.5399991273880005
10,anger,fear,0.9878791570663452,0.021107293665409088
10,anger,surprise,0.9835796356201172,-0.07175412774085999
10,anger,sadness,0.9919320940971375,0.1982044279575348
10,anger,disgust,0.9978461265563965,0.8125596046447754
10,anger,anger,1.0000003576278687,1.0
10,anger,anticipation,0.9805147647857666,-0.6023014783859253
10,anticipation,joy,0.9894262552261353,0.23989760875701904
10,anticipation,trust,0.9892669916152954,0.2618251442909241
10,anticipation,fear,0.9896146059036255,0.14962099492549896
10,anticipation,surprise,0.9811950922012329,-0.24494872987270355
10,anticipation,sadness,0.9877963066101074,-0.24858535826206207
10,anticipation,disgust,0.9813907146453857,-0.6784870028495789
10,anticipation,anger,0.9805147647857666,-0.6023014783859253
10,anticipation,anticipation,0.9999998807907104,1.0
13,joy,joy,1.0,0.9999998211860657
13,joy,trust,0.99214768409729,0.5053238868713379
13,joy,fear,0.9793322086334229,-0.5989362001419067
13,joy,surprise,0.9827455878257751,-0.02715185284614563
13,joy,sadness,0.9843307733535767,-0.4392714202404022
13,joy,disgust,0.9808088541030884,-0.5821159482002258
