from_layer,to_layer,emotion,cosine
8,10,joy,0.0
8,10,trust,0.0
8,10,fear,0.0
8,10,surprise,0.0
8,10,sadness,0.0
8,10,disgust,0.0
8,10,anger,0.0
8,10,anticipation,0.0
10,13,joy,0.6771936416625977
10,13,trust,0.6731629371643066
10,13,fear,0.6822525858879089
10,13,surprise,0.6756514310836792
10,13,sadness,0.6822834014892578
10,13,disgust,0.678691029548645
10,13,anger,0.6814888715744019
10,13,anticipation,0.6755017042160034
13,16,joy,0.7191428542137146
13,16,trust,0.7180407047271729
13,16,fear,0.7199990153312683
13,16,surprise,0.7145910859107971
13,16,sadness,0.7183566093444824
13,16,disgust,0.7177391052246094
13,16,anger,0.7161756157875061
13,16,anticipation,0.7141207456588745
16,19,joy,0.8411865234375
16,19,trust,0.8410548567771912
16,19,fear,0.8387843370437622
16,19,surprise,0.836885929107666
16,19,sadness,0.8389803767204285
16,19,disgust,0.8401333093643188
16,19,anger,0.8391448259353638
16,19,anticipation,0.8391174077987671
19,22,joy,0.8892492651939392
19,22,trust,0.8901273012161255
19,22,fear,0.8863714933395386
19,22,surprise,0.8866634964942932
19,22,sadness,0.8862036466598511
19,22,disgust,0.8868828415870667
19,22,anger,0.8860985040664673
19,22,anticipation,0.8880447149276733
