layer,emotion,pair,cosine
8,joy,low-medium,0.0
8,joy,low-high,0.0
8,joy,medium-high,0.0
8,trust,low-medium,0.0
8,trust,low-high,0.0
8,trust,medium-high,0.0
8,fear,low-medium,0.0
8,fear,low-high,0.0
8,fear,medium-high,0.0
8,surprise,low-medium,0.0
8,surprise,low-high,0.0
8,surprise,medium-high,0.0
8,sadness,low-medium,0.0
8,sadness,low-high,0.0
8,sadness,medium-high,0.0
8,disgust,low-medium,0.0
8,disgust,low-high,0.0
8,disgust,medium-high,0.0
8,anger,low-medium,0.0
8,anger,low-high,0.0
8,anger,medium-high,0.0
8,anticipation,low-medium,0.0
8,anticipation,low-high,0.0
8,anticipation,medium-high,0.0
10,joy,low-medium,0.9952211976051331
10,joy,low-high,0.9814504981040955
10,joy,medium-high,0.9928677678108215
10,trust,low-medium,0.9977298974990845
10,trust,low-high,0.9945041537284851
10,trust,medium-high,0.9987745881080627
10,fear,low-medium,0.9947760105133057
10,fear,low-high,0.9873619079589844
10,fear,medium-high,0.9972162842750549
10,surprise,low-medium,0.9938122034072876
10,surprise,low-high,0.9797829389572144
10,surprise,medium-high,0.9943378567695618
10,sadness,low-medium,0.9963207840919495
10,sadness,low-high,0.9912038445472717
10,sadness,medium-high,0.9982108473777771
10,disgust,low-medium,0.995619535446167
10,disgust,low-high,0.9892700910568237
10,disgust,medium-high,0.9980641603469849
10,anger,low-medium,0.9952324628829956
10,anger,low-high,0.9857101440429688
10,anger,medium-high,0.9964547157287598
10,anticipation,low-medium,0.9969216585159302
10,anticipation,low-high,0.9918557405471802
10,anticipation,medium-high,0.9978644251823425
13,joy,low-medium,0.9947671890258789
13,joy,low-high,0.9811091423034668
13,joy,medium-high,0.993243932723999
13,trust,low-medium,0.9978500008583069
13,trust,low-high,0.9950674772262573
13,trust,medium-high,0.9990339279174805
13,fear,low-medium,0.9950665831565857
13,fear,low-high,0.9883075952529907
13,fear,medium-high,0.9976195096969604
13,surprise,low-medium,0.9943525791168213
13,surprise,low-high,0.9818207621574402
13,surprise,medium-high,0.9950228929519653
13,sadness,low-medium,0.9963486194610596
13,sadness,low-high,0.9916293621063232
13,sadness,medium-high,0.9984884262084961
13,disgust,low-medium,0.9959549307823181
13,disgust,low-high,0.9905461072921753
13,disgust,medium-high,0.998379111289978
13,anger,low-medium,0.9955031871795654
13,anger,low-high,0.9867775440216064
13,anger,medium-high,0.9966657161712646
13,anticipation,low-medium,0.9968342185020447
13,anticipation,low-high,0.9924029111862183
13,anticipation,medium-high,0.9982942342758179
16,joy,low-medium,0.9956536889076233
16,joy,low-high,0.9817951321601868
16,joy,medium-high,0.9925899505615234
16,trust,low-medium,0.998349666595459
16,trust,low-high,0.9963282346725464
16,trust,medium-high,0.9993249177932739
16,fear,low-medium,0.9965955018997192
16,fear,low-high,0.991265594959259
16,fear,medium-high,0.9979486465454102
16,surprise,low-medium,0.9949543476104736
16,surprise,low-high,0.9808326363563538
16,surprise,medium-high,0.994072675704956
16,sadness,low-medium,0.9975998401641846
16,sadness,low-high,0.9943830966949463
16,sadness,medium-high,0.9989194869995117
16,disgust,low-medium,0.9972620010375977
16,disgust,low-high,0.9932432770729065
16,disgust,medium-high,0.9987282752990723
16,anger,low-medium,0.9967316389083862
16,anger,low-high,0.9888978004455566
16,anger,medium-high,0.9965466856956482
16,anticipation,low-medium,0.9974247217178345
16,anticipation,low-high,0.9939188957214355
16,anticipation,medium-high,0.9986965656280518
19,joy,low-medium,0.996558427810669
19,joy,low-high,0.9860368967056274
19,joy,medium-high,0.994594395160675
19,trust,low-medium,0.998794436454773
19,trust,low-high,0.9973756074905396
19,trust,medium-high,0.999541699886322
19,fear,low-medium,0.9974853992462158
19,fear,low-high,0.9934062957763672
19,fear,medium-high,0.9984174370765686
19,surprise,low-medium,0.9961729645729065
19,surprise,low-high,0.9862273931503296
19,surprise,medium-high,0.9959160089492798
19,sadness,low-medium,0.9982538223266602
19,sadness,low-high,0.9958930015563965
19,sadness,medium-high,0.9991927146911621
19,disgust,low-medium,0.9978713989257812
19,disgust,low-high,0.9944809675216675
19,disgust,medium-high,0.9989032745361328
19,anger,low-medium,0.9972447156906128
19,anger,low-high,0.9904992580413818
19,anger,medium-high,0.9971801042556763
19,anticipation,low-medium,0.9979722499847412
19,anticipation,low-high,0.9953302145004272
19,anticipation,medium-high,0.9990503787994385
22,joy,low-medium,0.9972463250160217
22,joy,low-high,0.9890073537826538
22,joy,medium-high,0.995792031288147
22,trust,low-medium,0.9990705847740173
22,trust,low-high,0.9980610609054565
22,trust,medium-high,0.9996781945228577
22,fear,low-medium,0.9981284141540527
22,fear,low-high,0.9951542019844055
22,fear,medium-high,0.9988118410110474
22,surprise,low-medium,0.9969460964202881
22,surprise,low-high,0.9894329309463501
22,surprise,medium-high,0.9969027638435364
22,sadness,low-medium,0.9986591935157776
22,sadness,low-high,0.9968879818916321
22,sadness,medium-high,0.9993902444839478
22,disgust,low-medium,0.9984119534492493
22,disgust,low-high,0.9958367943763733
22,disgust,medium-high,0.9991427659988403
22,anger,low-medium,0.9979426860809326
22,anger,low-high,0.9927464723587036
22,anger,medium-high,0.9977958798408508
22,anticipation,low-medium,0.998401403427124
22,anticipation,low-high,0.9964563250541687
22,anticipation,medium-high,0.999313473701477
