layer,pair,type,cosine
8,joy↔sadness,opposite,0.0
8,trust↔disgust,opposite,0.0
8,fear↔anger,opposite,0.0
8,anticipation↔surprise,opposite,0.0
8,joy↔trust,adjacent,0.0
8,trust↔fear,adjacent,0.0
8,fear↔surprise,adjacent,0.0
8,surprise↔sadness,adjacent,0.0
8,sadness↔disgust,adjacent,0.0
8,disgust↔anger,adjacent,0.0
8,anger↔anticipation,adjacent,0.0
8,anticipation↔joy,adjacent,0.0
10,joy↔sadness,opposite,0.9824008
10,trust↔disgust,opposite,0.9773221
10,fear↔anger,opposite,0.98610365
10,anticipation↔surprise,opposite,0.9787432
10,joy↔trust,adjacent,0.98908186
10,trust↔fear,adjacent,0.9794249
10,fear↔surprise,adjacent,0.9771682
10,surprise↔sadness,adjacent,0.98310965
10,sadness↔disgust,adjacent,0.9931121
10,disgust↔anger,adjacent,0.99768686
10,anger↔anticipation,adjacent,0.9778173
10,anticipation↔joy,adjacent,0.98787546
13,joy↔sadness,opposite,0.9829145
13,trust↔disgust,opposite,0.9782467
13,fear↔anger,opposite,0.9882576
13,anticipation↔surprise,opposite,0.9775014
13,joy↔trust,adjacent,0.9904862
13,trust↔fear,adjacent,0.98055315
13,fear↔surprise,adjacent,0.97780764
13,surprise↔sadness,adjacent,0.98392284
13,sadness↔disgust,adjacent,0.9942892
13,disgust↔anger,adjacent,0.99780065
13,anger↔anticipation,adjacent,0.9795004
13,anticipation↔joy,adjacent,0.98947525
16,joy↔sadness,opposite,0.98497796
16,trust↔disgust,opposite,0.98033965
16,fear↔anger,opposite,0.9911416
16,anticipation↔surprise,opposite,0.9805931
16,joy↔trust,adjacent,0.99201685
16,trust↔fear,adjacent,0.9828779
16,fear↔surprise,adjacent,0.9814855
16,surprise↔sadness,adjacent,0.98573345
16,sadness↔disgust,adjacent,0.9958236
16,disgust↔anger,adjacent,0.99777377
16,anger↔anticipation,adjacent,0.9833908
16,anticipation↔joy,adjacent,0.9917139
19,joy↔sadness,opposite,0.9895915
19,trust↔disgust,opposite,0.98522687
19,fear↔anger,opposite,0.99307734
19,anticipation↔surprise,opposite,0.9849222
19,joy↔trust,adjacent,0.99429816
19,trust↔fear,adjacent,0.9875805
19,fear↔surprise,adjacent,0.98580617
19,surprise↔sadness,adjacent,0.98905766
19,sadness↔disgust,adjacent,0.9966869
19,disgust↔anger,adjacent,0.9981028
19,anger↔anticipation,adjacent,0.9875169
19,anticipation↔joy,adjacent,0.9941195
22,joy↔sadness,opposite,0.9928848
22,trust↔disgust,opposite,0.9889189
22,fear↔anger,opposite,0.9951808
22,anticipation↔surprise,opposite,0.9885156
22,joy↔trust,adjacent,0.9955324
22,trust↔fear,adjacent,0.99057555
22,fear↔surprise,adjacent,0.98958755
22,surprise↔sadness,adjacent,0.9916959
22,sadness↔disgust,adjacent,0.99729335
22,disgust↔anger,adjacent,0.99859613
22,anger↔anticipation,adjacent,0.9912124
22,anticipation↔joy,adjacent,0.99581176
