condition,emotion,pc,evr,cos_with_g
original,joy,1,0.1516151875257492,0.25131115317344666
original,joy,2,0.081548310816288,0.02403961308300495
original,joy,3,0.050277598202228546,0.13543306291103363
original,joy,4,0.0325317420065403,0.10274743288755417
original,joy,5,0.030280359089374542,0.040683746337890625
original,joy,6,0.023402947932481766,0.011565614491701126
original,joy,7,0.019866103306412697,0.05938390642404556
original,joy,8,0.01589759811758995,0.004242013208568096
original,trust,1,0.13853365182876587,0.2527531385421753
original,trust,2,0.06490232050418854,0.003630631137639284
original,trust,3,0.04848165810108185,0.1278296411037445
original,trust,4,0.0376349501311779,0.06347228586673737
original,trust,5,0.03135320544242859,0.0678020566701889
original,trust,6,0.024900328367948532,0.10738037526607513
original,trust,7,0.02113008126616478,0.01142129860818386
original,trust,8,0.017371216788887978,0.10294783115386963
original,fear,1,0.13121771812438965,0.24817174673080444
original,fear,2,0.07041031867265701,0.05783064663410187
original,fear,3,0.048668768256902695,0.10395415127277374
original,fear,4,0.03581025451421738,0.10386177897453308
original,fear,5,0.030043160542845726,0.06042258068919182
original,fear,6,0.026061568409204483,0.10811799764633179
original,fear,7,0.021517449989914894,0.02623739466071129
original,fear,8,0.01968623511493206,0.0734066516160965
original,surprise,1,0.15279105305671692,0.25791120529174805
original,surprise,2,0.060200899839401245,0.08662289381027222
original,surprise,3,0.04696623608469963,0.04099882021546364
original,surprise,4,0.03914496675133705,0.0915459394454956
original,surprise,5,0.030038854107260704,0.034385986626148224
original,surprise,6,0.029261047020554543,0.010509897023439407
original,surprise,7,0.022418158128857613,0.07588803768157959
original,surprise,8,0.018593866378068924,0.0033442527055740356
original,sadness,1,0.13902385532855988,0.2577959895133972
original,sadness,2,0.0761018916964531,0.002373538911342621
original,sadness,3,0.05374574288725853,0.09759223461151123
original,sadness,4,0.03582479804754257,0.12471544742584229
original,sadness,5,0.029408136382699013,0.00396365113556385
original,sadness,6,0.02492610365152359,0.05351540073752403
original,sadness,7,0.022139208391308784,0.1091608852148056
original,sadness,8,0.01791345328092575,0.039836883544921875
original,disgust,1,0.1335633397102356,0.2637372314929962
original,disgust,2,0.08103370666503906,0.012323874980211258
original,disgust,3,0.052613623440265656,0.11995336413383484
original,disgust,4,0.036475785076618195,0.10706624388694763
original,disgust,5,0.029171202331781387,0.020272452384233475
original,disgust,6,0.02624216303229332,0.0750049278140068
original,disgust,7,0.020475227385759354,0.10685685276985168
original,disgust,8,0.017858806997537613,0.036327801644802094
original,anger,1,0.1365642547607422,0.2674470543861389
original,anger,2,0.0734359472990036,0.015235812403261662
original,anger,3,0.053091779351234436,0.12054719030857086
original,anger,4,0.034795574843883514,0.07928451895713806
original,anger,5,0.02993018738925457,0.0979418158531189
original,anger,6,0.028366094455122948,0.055578991770744324
original,anger,7,0.020180432125926018,0.05089972913265228
original,anger,8,0.01771124079823494,0.005179780535399914
original,anticipation,1,0.1389443427324295,0.24522259831428528
original,anticipation,2,0.06628230214118958,0.05493663251399994
original,anticipation,3,0.04560861736536026,0.13204264640808105
original,anticipation,4,0.032613396644592285,0.08629096299409866
original,anticipation,5,0.029570482671260834,0.004882224835455418
original,anticipation,6,0.02694779634475708,0.08121585845947266
original,anticipation,7,0.02120281383395195,0.020406462252140045
original,anticipation,8,0.020475134253501892,0.0609523206949234
residualized,joy,1,0.1440640389919281,4.284083843231201e-08
residualized,joy,2,0.08252137154340744,2.2817403078079224e-08
residualized,joy,3,0.0499432310461998,1.257285475730896e-08
residualized,joy,4,0.032576724886894226,1.862645149230957e-09
residualized,joy,5,0.030595259740948677,1.30385160446167e-08
residualized,joy,6,0.023694472387433052,6.51925802230835e-08
residualized,joy,7,0.020039640367031097,2.6542693376541138e-08
residualized,joy,8,0.01609576866030693,2.7939677238464355e-08
residualized,trust,1,0.13147133588790894,2.9802322387695312e-08
residualized,trust,2,0.06567313522100449,1.3969838619232178e-09
residualized,trust,3,0.04824076592922211,2.60770320892334e-08
residualized,trust,4,0.03792046383023262,2.0489096641540527e-08
residualized,trust,5,0.03157443553209305,2.8870999813079834e-08
residualized,trust,6,0.024900421500205994,2.9802322387695312e-08
residualized,trust,7,0.021378900855779648,2.9802322387695312e-08
residualized,trust,8,0.017401251941919327,2.3283064365386963e-09
residualized,fear,1,0.12477722764015198,3.5390257835388184e-08
residualized,fear,2,0.07094649970531464,6.51925802230835e-09
residualized,fear,3,0.04867600277066231,2.60770320892334e-08
residualized,fear,4,0.03581390157341957,9.313225746154785e-09
residualized,fear,5,0.030265258625149727,1.3969838619232178e-09
residualized,fear,6,0.02600776217877865,2.7706846594810486e-08
residualized,fear,7,0.021743347868323326,2.9802322387695312e-08
residualized,fear,8,0.019800804555416107,1.30385160446167e-08
residualized,surprise,1,0.1446949541568756,2.2351741790771484e-08
residualized,surprise,2,0.060495778918266296,3.725290298461914e-09
residualized,surprise,3,0.04748933017253876,2.2351741790771484e-08
residualized,surprise,4,0.03929918259382248,3.259629011154175e-09
residualized,surprise,5,0.030389834195375443,3.213062882423401e-08
residualized,surprise,6,0.02963518165051937,3.5390257835388184e-08
residualized,surprise,7,0.022579196840524673,9.313225746154785e-09
residualized,surprise,8,0.018833940848708153,5.774199962615967e-08
residualized,sadness,1,0.13160356879234314,3.3527612686157227e-08
residualized,sadness,2,0.07702482491731644,6.51925802230835e-09
residualized,sadness,3,0.053861696273088455,1.257285475730896e-08
residualized,sadness,4,0.035671256482601166,1.3969838619232178e-09
residualized,sadness,5,0.0297646876424551,6.51925802230835e-09
residualized,sadness,6,0.02515937015414238,4.6566128730773926e-09
residualized,sadness,7,0.02213742770254612,2.7706846594810486e-08
residualized,sadness,8,0.018101252615451813,1.4901161193847656e-08
residualized,disgust,1,0.1260908544063568,2.60770320892334e-08
residualized,disgust,2,0.08202117681503296,1.955777406692505e-08
residualized,disgust,3,0.05246397852897644,6.51925802230835e-09
residualized,disgust,4,0.03646983578801155,5.541369318962097e-08
residualized,disgust,5,0.029518112540245056,6.51925802230835e-09
residualized,disgust,6,0.02641434594988823,3.585591912269592e-08
residualized,disgust,7,0.02047775872051716,1.862645149230957e-08
residualized,disgust,8,0.01805282011628151,3.166496753692627e-08
residualized,anger,1,0.12867219746112823,5.587935447692871e-08
residualized,anger,2,0.07434630393981934,1.210719347000122e-08
residualized,anger,3,0.05293525010347366,0.0
residualized,anger,4,0.03500853106379509,3.5390257835388184e-08
residualized,anger,5,0.03001474216580391,1.4901161193847656e-08
residualized,anger,6,0.02859880030155182,1.5366822481155396e-08
residualized,anger,7,0.020384246483445168,1.862645149230957e-08
residualized,anger,8,0.017935188487172127,1.4901161193847656e-08
residualized,anticipation,1,0.132330060005188,3.3527612686157227e-08
residualized,anticipation,2,0.06683323532342911,1.862645149230957e-09
residualized,anticipation,3,0.04531019181013107,4.0046870708465576e-08
residualized,anticipation,4,0.03273291513323784,2.2351741790771484e-08
residualized,anticipation,5,0.02990901656448841,1.30385160446167e-08
residualized,anticipation,6,0.02707447111606598,1.30385160446167e-08
residualized,anticipation,7,0.02143624797463417,2.0489096641540527e-08
residualized,anticipation,8,0.020616723224520683,2.2351741790771484e-08
