condition,emotion,PR,EVR_PC1,EVR_PC2,EVR_PC3,EVR_PC4,EVR_PC5,EVR_PC6,EVR_PC7,EVR_PC8
orig,joy,5.05,0.1232,0.0548,0.0411,0.0389,0.0249,0.0243,0.0198,0.0157
orig,trust,5.09,0.1176,0.0536,0.0408,0.0325,0.0253,0.0232,0.02,0.016
orig,fear,5.18,0.1161,0.0531,0.0412,0.0338,0.0259,0.0234,0.0191,0.0176
orig,surprise,5.0,0.1216,0.0539,0.0419,0.0307,0.0289,0.0231,0.0184,0.0159
orig,sadness,5.22,0.1174,0.0542,0.0419,0.0358,0.0275,0.0244,0.0197,0.0161
orig,disgust,5.32,0.1142,0.0541,0.042,0.0378,0.027,0.0234,0.0195,0.0172
orig,anger,5.25,0.1155,0.054,0.0419,0.0346,0.027,0.0234,0.0192,0.0177
orig,anticipation,5.04,0.1188,0.0547,0.0417,0.0334,0.026,0.0212,0.0187,0.0163
resid,joy,5.13,0.1189,0.0547,0.0408,0.037,0.0249,0.0242,0.0198,0.0159
resid,trust,5.17,0.1134,0.0532,0.0394,0.0317,0.0256,0.0232,0.0197,0.016
resid,fear,5.27,0.1119,0.0528,0.0402,0.0324,0.0261,0.0237,0.0191,0.0176
resid,surprise,5.1,0.1169,0.0538,0.0398,0.03,0.0293,0.0233,0.0185,0.016
resid,sadness,5.31,0.1131,0.0539,0.0411,0.0344,0.0274,0.0248,0.0194,0.0163
resid,disgust,5.41,0.1101,0.054,0.0416,0.0359,0.0268,0.0237,0.0194,0.0174
resid,anger,5.34,0.1112,0.0538,0.0411,0.0333,0.0268,0.0237,0.0192,0.0178
resid,anticipation,5.12,0.1148,0.0543,0.0401,0.0328,0.0264,0.0209,0.0188,0.0163
