k,emotion,ratio_global,ratio_shared,ratio_specific
0,joy,0.9847069978704142,0.0,0.01529276718307369
0,trust,0.9835670013934072,0.0,0.01643305069816042
0,fear,0.9892920832550318,0.0,0.010708225884861302
0,surprise,0.9816951751699167,0.0,0.018305106032397097
0,sadness,0.9930378198613726,0.0,0.006962521507726464
0,disgust,0.9907594908179259,0.0,0.009240505894065458
0,anger,0.9881504178037298,0.0,0.011849244150626497
0,anticipation,0.988341091672516,0.0,0.01165941647636512
1,joy,0.9847069978704142,0.00990497507153951,0.005387801676983214
1,trust,0.9835670013934072,0.010868366443400666,0.005564692698152139
1,fear,0.9892920832550318,0.0012980338644432911,0.009410193009997675
1,surprise,0.9816951751699167,0.00041383219649973846,0.017891272902470817
1,sadness,0.9930378198613726,0.0022653059568233484,0.004697217606003355
1,disgust,0.9907594908179259,0.006327765816773502,0.0029127447612846287
1,anger,0.9881504178037298,0.00802189018576535,0.0038273599930069317
1,anticipation,0.988341091672516,0.004802961475005291,0.006856459078955837
2,joy,0.9847069978704142,0.01110090687869869,0.00419186335056601
2,trust,0.9835670013934072,0.011238239297171404,0.005194800286609665
2,fear,0.9892920832550318,0.005557109198494814,0.005151119072930264
2,surprise,0.9816951751699167,0.015561123378559286,0.0027440106496187423
2,sadness,0.9930378198613726,0.002578966785219713,0.004383553750808624
2,disgust,0.9907594908179259,0.006371673490449196,0.0028688389502543074
2,anger,0.9881504178037298,0.008042981848112645,0.0038062788080386006
2,anticipation,0.988341091672516,0.006759638772557029,0.004899791560292298
3,joy,0.9847069978704142,0.012267299927758823,0.003025473328304245
3,trust,0.9835670013934072,0.012639977393736429,0.0037930610258915605
3,fear,0.9892920832550318,0.008930802079573655,0.0017774264246821078
3,surprise,0.9816951751699167,0.017892651259881244,0.0004124871338713514
3,sadness,0.9930378198613726,0.0026243797037724236,0.0043381415307478435
3,disgust,0.9907594908179259,0.008371093376996893,0.0008694231964510266
3,anger,0.9881504178037298,0.009939825162281587,0.0019094300223495343
3,anticipation,0.988341091672516,0.008945351601574012,0.0027140717463551736
4,joy,0.9847069978704142,0.014390256255850706,0.000902517582288972
4,trust,0.9835670013934072,0.016097163725221304,0.00033589634765396526
4,fear,0.9892920832550318,0.009348178091310111,0.0013600562337127856
4,surprise,0.9816951751699167,0.018285816535335373,1.92842671822098e-05
4,sadness,0.9930378198613726,0.0036919161211662324,0.0032706060446766093
4,disgust,0.9907594908179259,0.008393879117823685,0.0008466362332632102
4,anger,0.9881504178037298,0.009940809570242954,0.0019084387458841788
4,anticipation,0.988341091672516,0.009525479021716013,0.00213394060092243
5,joy,0.9847069978704142,0.01441447995601643,0.0008782926597623684
5,trust,0.9835670013934072,0.016281533908048807,0.00015152866775558127
5,fear,0.9892920832550318,0.009432818564671125,0.0012754166916745112
5,surprise,0.9816951751699167,0.018290460109692402,1.4643498616336635e-05
5,sadness,0.9930378198613726,0.006305416114622009,0.0006571098347187921
5,disgust,0.9907594908179259,0.008393984357287162,0.000846530702761394
5,anger,0.9881504178037298,0.011405660770822085,0.0004435815499159728
5,anticipation,0.988341091672516,0.010974797797167986,0.0006846197299944147
6,joy,0.9847069978704142,0.015292184427365269,5.920585408597153e-07
6,trust,0.9835670013934072,0.01640718607219175,2.5876203479425208e-05
6,fear,0.9892920832550318,0.010708167269785534,6.738938435475391e-08
6,surprise,0.9816951751699167,0.018304966390114596,1.3715390423371826e-07
6,sadness,0.9930378198613726,0.006868217606090591,9.43086779442604e-05
6,disgust,0.9907594908179259,0.008405777696455381,0.0008347382367081921
6,anger,0.9881504178037298,0.011411020532238992,0.00043822202132970975
6,anticipation,0.988341091672516,0.011623897112762882,3.5519614044085574e-05
7,joy,0.9847069978704142,0.015292774885877575,8.537406011627533e-15
7,trust,0.9835670013934072,0.016433061935520195,9.836507740556527e-15
7,fear,0.9892920832550318,0.010708233393700155,1.1253106614050463e-14
7,surprise,0.9816951751699167,0.01830510050056534,7.58063232276087e-15
7,sadness,0.9930378198613726,0.006962526589625071,9.119075394967742e-15
7,disgust,0.9907594908179259,0.009240517562978274,1.2475196754965347e-14
7,anger,0.9881504178037298,0.011849245056498122,1.9311456730586433e-14
7,anticipation,0.988341091672516,0.011659416828670385,1.3672369548404973e-14
