k,emotion,ratio_shared,ratio_specific
1,joy,0.0076680993661207755,0.9923319220532983
1,trust,0.009519310668101327,0.9904807806005109
1,fear,0.002608423742406367,0.9973915217742197
1,surprise,0.0012726527991687802,0.9987273810766939
1,sadness,0.0042667974789582785,0.995733142915411
1,disgust,0.009701392388168124,0.9902986299625709
1,anger,0.011719483882177077,0.9882805347432744
1,anticipation,0.003552667055965931,0.9964474435376031
2,joy,0.007894877344361994,0.9921051263799282
2,trust,0.011846243403840138,0.988153815268482
2,fear,0.011496198117494897,0.9885038130573767
2,surprise,0.013596579190667289,0.9864034636491763
2,sadness,0.005709004158609365,0.9942908300650118
2,disgust,0.010793761926132146,0.9892061961633569
2,anger,0.012675840407597262,0.9873241186132093
2,anticipation,0.007885991604438479,0.9921140065319162
3,joy,0.009026158601036581,0.9909738302220924
3,trust,0.01366944797335688,0.9863305687894494
3,fear,0.01522562743576598,0.9847742906068426
3,surprise,0.015691988178116862,0.9843080621123081
3,sadness,0.005854303484123221,0.9941455735803262
3,disgust,0.01294149490396935,0.9870585218588349
3,anger,0.014767358079537881,0.985232591628043
3,anticipation,0.010590256522913895,0.989409803080738
4,joy,0.015775775536879023,0.9842242598523787
4,trust,0.014635542407617236,0.9853644967069308
4,fear,0.015283009948298546,0.984716950935151
4,surprise,0.015695324175976817,0.9843047838564547
4,sadness,0.010516713659940297,0.989483239772942
4,disgust,0.013536623928041757,0.9864634291563386
4,anger,0.015591467730685376,0.9844084978093792
4,anticipation,0.01305611494106119,0.986943958632431
5,joy,0.015997726470216012,0.9840022921552354
5,trust,0.015561900101586514,0.9844381213178326
5,fear,0.01583685075262696,0.9841631045428868
5,surprise,0.015800278654711977,0.9841998200644927
5,sadness,0.014568706294890068,0.985431138173277
5,disgust,0.013645356756988617,0.9863545910879533
5,anger,0.01636075600980076,0.983639180659264
5,anticipation,0.01403697374902439,0.9859631044810813
6,joy,0.016169728711231273,0.9838303327550586
6,trust,0.01638003624974043,0.9836200475682912
6,fear,0.016232808156760682,0.9837671508640436
6,surprise,0.01618393330976934,0.9838160853156844
6,sadness,0.016481336002014842,0.9835186043923545
6,disgust,0.014040649126080641,0.9859593527355642
6,anger,0.01660078018902072,0.9833991527547539
6,anticipation,0.0158996396093972,0.9841003399005037
7,joy,0.0166061408817602,0.9833938479413689
7,trust,0.016606185585243783,0.9833938479413689
7,fear,0.016606037563428818,0.9833939661608617
7,surprise,0.016606109333750015,0.9833940247757167
7,sadness,0.016606274758256812,0.9833936730866913
7,disgust,0.016606246935559957,0.9833937307117008
7,anger,0.016606081277115426,0.9833939075460136
7,anticipation,0.016606090707296302,0.9833940247757167
