layer,pair,cosine
8,joy↔trust,0.0
8,joy↔fear,0.0
8,joy↔surprise,0.0
8,joy↔sadness,0.0
8,joy↔disgust,0.0
8,joy↔anger,0.0
8,joy↔anticipation,0.0
8,trust↔fear,0.0
8,trust↔surprise,0.0
8,trust↔sadness,0.0
8,trust↔disgust,0.0
8,trust↔anger,0.0
8,trust↔anticipation,0.0
8,fear↔surprise,0.0
8,fear↔sadness,0.0
8,fear↔disgust,0.0
8,fear↔anger,0.0
8,fear↔anticipation,0.0
8,surprise↔sadness,0.0
8,surprise↔disgust,0.0
8,surprise↔anger,0.0
8,surprise↔anticipation,0.0
8,sadness↔disgust,0.0
8,sadness↔anger,0.0
8,sadness↔anticipation,0.0
8,disgust↔anger,0.0
8,disgust↔anticipation,0.0
8,anger↔anticipation,0.0
10,joy↔trust,0.5839463472366333
10,joy↔fear,0.5770938396453857
10,joy↔surprise,0.5431296825408936
10,joy↔sadness,0.57677161693573
10,joy↔disgust,0.5784710049629211
10,joy↔anger,0.5858273506164551
10,joy↔anticipation,0.55243319272995
10,trust↔fear,0.550045907497406
10,trust↔surprise,0.5575885772705078
10,trust↔sadness,0.5419433116912842
10,trust↔disgust,0.5433700084686279
10,trust↔anger,0.5586990118026733
10,trust↔anticipation,0.5434421896934509
10,fear↔surprise,0.5522435903549194
10,fear↔sadness,0.5608948469161987
10,fear↔disgust,0.580168604850769
10,fear↔anger,0.6001401543617249
10,fear↔anticipation,0.5682603120803833
10,surprise↔sadness,0.583945631980896
10,surprise↔disgust,0.5663082003593445
10,surprise↔anger,0.5557267665863037
10,surprise↔anticipation,0.5344140529632568
10,sadness↔disgust,0.621935248374939
10,sadness↔anger,0.6399903893470764
10,sadness↔anticipation,0.5476878881454468
10,disgust↔anger,0.56168532371521
10,disgust↔anticipation,0.5628772974014282
10,anger↔anticipation,0.5792454481124878
13,joy↔trust,0.9999998807907104
13,joy↔fear,1.0
13,joy↔surprise,1.0
13,joy↔sadness,1.0
13,joy↔disgust,1.0
13,joy↔anger,0.9999998807907104
