layer,emotion,mean_cos,std_cos
8,joy,0.0,0.0
8,trust,0.0,0.0
8,fear,0.0,0.0
8,surprise,0.0,0.0
8,sadness,0.0,0.0
8,disgust,0.0,0.0
8,anger,0.0,0.0
8,anticipation,0.0,0.0
10,joy,0.851726770401001,0.058802396059036255
10,trust,0.8482803702354431,0.05836709588766098
10,fear,0.8487585783004761,0.05694669485092163
10,surprise,0.8510820269584656,0.06070752441883087
10,sadness,0.8516382575035095,0.05807603895664215
10,disgust,0.8498473763465881,0.05868370831012726
10,anger,0.8504029512405396,0.057338230311870575
10,anticipation,0.8522886633872986,0.057547297328710556
13,joy,0.8550586104393005,0.054977770894765854
13,trust,0.8535968065261841,0.054229967296123505
13,fear,0.8537600636482239,0.053935907781124115
13,surprise,0.8555399179458618,0.05578591302037239
13,sadness,0.8567337989807129,0.05447831377387047
13,disgust,0.853981077671051,0.054744768887758255
13,anger,0.8547929525375366,0.05450482666492462
13,anticipation,0.8570107221603394,0.05448945239186287
16,joy,0.823305070400238,0.05732429772615433
16,trust,0.8233230710029602,0.05537588894367218
16,fear,0.8218210935592651,0.05720812454819679
16,surprise,0.8206774592399597,0.05676966905593872
16,sadness,0.824761152267456,0.05762948840856552
16,disgust,0.8215025663375854,0.05627819895744324
16,anger,0.8218960762023926,0.05671544745564461
16,anticipation,0.8251287937164307,0.057697594165802
19,joy,0.8103942275047302,0.06143984571099281
19,trust,0.8129380345344543,0.05925678089261055
19,fear,0.8104605674743652,0.06285157054662704
19,surprise,0.8077934384346008,0.06153927370905876
19,sadness,0.8126156330108643,0.06317806988954544
19,disgust,0.8100554943084717,0.06088557094335556
19,anger,0.8114790916442871,0.061083775013685226
19,anticipation,0.812214195728302,0.06222199648618698
22,joy,0.8173756003379822,0.05466722697019577
22,trust,0.8209014534950256,0.05351457744836807
22,fear,0.8178210854530334,0.05601080507040024
22,surprise,0.8137248754501343,0.055123746395111084
22,sadness,0.8183391690254211,0.056183986365795135
22,disgust,0.8181431889533997,0.05426868423819542
22,anger,0.81951504945755,0.054525453597307205
22,anticipation,0.8169897794723511,0.05498542636632919
