target_emotion,steering_mode,alpha,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,objective_score
anger,completion_tokens,2.0,0.75,0.4,7.75,8.3,0.85,-1.8199999999999998
anger,last_token,1.0,1.0,1.3,8.05,8.15,1.05,-1.6349999999999998
anger,none,0.0,0.9,0.7,7.6,8.25,0.45,-1.49
anticipation,completion_tokens,2.0,4.7,0.95,8.3,8.45,1.5,2.025
anticipation,last_token,1.0,5.2,1.05,8.35,8.4,1.65,2.42
anticipation,none,0.0,5.2,0.9,7.95,7.95,1.45,2.1350000000000002
disgust,completion_tokens,2.0,0.55,5.65,7.9,8.55,0.75,-1.75
disgust,last_token,1.0,0.5,5.6,7.7,8.2,0.7,-2.04
disgust,none,0.0,0.45,5.2,7.6,7.95,0.65,-2.23
fear,completion_tokens,2.0,1.65,0.55,8.45,8.75,0.85,-0.34500000000000003
fear,last_token,1.0,1.65,0.5,8.3,8.45,0.85,-0.5700000000000001
fear,none,0.0,1.4,0.65,7.75,8.15,0.8,-1.21
joy,completion_tokens,2.0,4.3,1.65,8.35,8.3,1.0,1.925
joy,last_token,2.0,4.5,1.55,8.1,8.2,1.55,1.565
joy,none,0.0,3.7,1.05,7.55,7.65,0.8,0.7399999999999999
sadness,completion_tokens,1.0,1.9,3.8,8.0,8.35,1.05,-0.6599999999999999
sadness,last_token,1.0,1.9,4.15,7.7,8.05,1.0,-0.925
sadness,none,0.0,1.55,3.4,7.35,7.65,0.9,-1.5799999999999998
surprise,completion_tokens,2.0,2.15,1.75,8.2,8.45,1.3,-0.4349999999999999
surprise,last_token,1.0,2.45,1.65,7.85,7.7,2.05,-1.21
surprise,none,0.0,2.6,1.85,7.35,7.4,0.8,-0.585
trust,completion_tokens,2.0,6.0,0.55,8.45,8.4,1.25,3.55
trust,last_token,2.0,5.7,0.5,8.3,8.2,1.65,2.795
trust,none,0.0,5.5,0.15,7.7,7.75,1.15,2.42
