target_emotion,steering_mode,alpha,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,objective_score,target_at_zero,opposite_at_zero,delta_target_vs_zero,delta_opposite_vs_zero,negative_alpha_effect
anger,completion_tokens,-1.0,0.35,0.7,7.35,8.4,0.25,-1.95,0.5,0.6,-0.15000000000000002,0.09999999999999998,negative alpha is weak or mixed
anger,last_token,-1.0,0.3,0.8,7.35,8.25,0.4,-2.18,0.45,0.7,-0.15000000000000002,0.10000000000000009,negative alpha is weak or mixed
anger,none,-8.0,0.7,0.7,7.55,8.05,0.5,-1.85,0.7,0.7,0.0,0.0,negative alpha is weak or mixed
anticipation,completion_tokens,-1.0,4.7,1.0,7.95,8.15,1.65,1.595,4.7,1.0,0.0,0.0,negative alpha is weak or mixed
anticipation,last_token,-1.0,4.45,1.0,7.8,7.9,2.0,0.9,4.35,1.0,0.10000000000000053,0.0,negative alpha is weak or mixed
anticipation,none,-8.0,4.4,1.1,7.7,7.9,1.25,1.325,4.25,0.75,0.15000000000000036,0.3500000000000001,negative alpha is weak or mixed
disgust,completion_tokens,-1.0,0.2,6.25,7.45,8.4,0.3,-2.085,0.4,5.35,-0.2,0.9000000000000004,negative alpha is weak or mixed
disgust,last_token,-1.0,0.15,6.55,7.2,8.1,1.1,-2.97,0.25,4.85,-0.1,1.7000000000000002,negative alpha increases opposite emotion
disgust,none,-2.0,0.3,5.15,7.2,7.55,0.2,-2.465,0.25,4.55,0.04999999999999999,0.6000000000000005,negative alpha is weak or mixed
fear,completion_tokens,-1.0,1.35,0.25,7.6,7.9,0.75,-1.425,1.3,0.55,0.050000000000000044,-0.30000000000000004,negative alpha is weak or mixed
fear,last_token,-1.0,1.4,0.2,7.6,8.05,1.5,-1.825,1.45,0.6,-0.050000000000000044,-0.39999999999999997,negative alpha is weak or mixed
fear,none,-8.0,1.4,0.65,7.75,8.15,0.8,-1.21,1.05,0.55,0.34999999999999987,0.09999999999999998,negative alpha is weak or mixed
joy,completion_tokens,-2.0,3.95,1.4,7.8,7.95,1.55,0.7400000000000001,4.0,1.2,-0.04999999999999982,0.19999999999999996,negative alpha is weak or mixed
joy,last_token,-1.0,3.6,1.3,7.7,7.7,1.7,0.1099999999999999,3.65,0.9,-0.04999999999999982,0.4,negative alpha is weak or mixed
joy,none,-2.0,3.7,1.05,7.55,7.65,0.8,0.7399999999999999,3.6,0.7,0.10000000000000009,0.3500000000000001,negative alpha is weak or mixed
sadness,completion_tokens,-1.0,1.4,4.35,7.45,8.1,1.4,-1.805,1.45,3.4,-0.050000000000000044,0.9499999999999997,negative alpha is weak or mixed
sadness,last_token,-1.0,1.2,4.2,7.1,7.85,1.55,-2.41,1.4,3.65,-0.19999999999999996,0.5500000000000003,negative alpha is weak or mixed
sadness,none,-8.0,1.45,3.75,7.4,7.75,0.95,-1.64,1.2,3.7,0.25,0.04999999999999982,negative alpha is weak or mixed
surprise,completion_tokens,-1.0,1.9,2.25,7.65,8.3,1.5,-1.175,2.1,2.3,-0.20000000000000018,-0.04999999999999982,negative alpha is weak or mixed
surprise,last_token,-1.0,1.75,2.35,7.75,7.8,1.7,-1.6649999999999998,2.05,2.25,-0.2999999999999998,0.10000000000000009,negative alpha is weak or mixed
surprise,none,-5.0,2.2,2.15,7.45,7.75,0.75,-0.725,2.05,1.8,0.15000000000000036,0.34999999999999987,negative alpha is weak or mixed
trust,completion_tokens,-1.0,5.15,0.25,7.9,7.95,1.5,2.025,5.1,0.15,0.05000000000000071,0.1,negative alpha is weak or mixed
trust,last_token,-1.0,4.85,0.25,7.8,8.0,1.8,1.49,4.55,0.15,0.2999999999999998,0.1,negative alpha is weak or mixed
trust,none,-2.0,4.85,0.15,7.65,7.65,1.1,1.73,4.55,0.15,0.2999999999999998,0.0,negative alpha is weak or mixed
