target_emotion,steering_mode,safe_alpha_values,safe_alpha_range,safe_alpha_count
anger,last_token,[1.0],1,1
anticipation,completion_tokens,"[0.0, 2.0]","0, 2",2
anticipation,last_token,"[1.0, 2.0]","1, 2",2
fear,completion_tokens,"[1.0, 2.0]","1, 2",2
fear,last_token,"[1.0, 2.0]","1, 2",2
joy,completion_tokens,[2.0],2,1
joy,last_token,[2.0],2,1
sadness,completion_tokens,[1.0],1,1
surprise,completion_tokens,"[1.0, 2.0]","1, 2",2
trust,completion_tokens,[2.0],2,1
trust,last_token,"[1.0, 2.0]","1, 2",2
