target_emotion,steering_mode,alpha,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,objective_score
anger,completion_tokens,-8.0,0.5,0.15,0.8,1.1,8.7,-14.64
anger,completion_tokens,-5.0,0.25,0.3,5.8,7.5,1.45,-4.115
anger,completion_tokens,-3.0,0.35,0.55,6.05,6.85,1.15,-4.005
anger,completion_tokens,-2.0,0.4,0.9,7.35,8.3,0.7,-2.2649999999999997
anger,completion_tokens,-1.0,0.35,0.7,7.35,8.4,0.25,-1.95
anger,completion_tokens,0.0,0.5,0.6,7.6,8.25,0.8,-2.135
anger,completion_tokens,1.0,0.65,0.8,7.15,7.95,1.35,-2.745
anger,completion_tokens,2.0,0.75,0.4,7.75,8.3,0.85,-1.8199999999999998
anger,completion_tokens,3.0,0.85,0.35,7.2,8.0,1.1,-2.32
anger,completion_tokens,5.0,1.0,0.55,6.65,6.6,3.15,-4.58
anger,completion_tokens,8.0,0.1,0.0,0.05,0.2,9.0,-16.075
anger,last_token,-8.0,0.2,0.05,0.6,1.2,8.2,-14.64
anger,last_token,-5.0,0.3,0.6,6.05,6.95,1.95,-4.5649999999999995
anger,last_token,-3.0,0.4,0.45,4.95,6.6,2.95,-5.89
anger,last_token,-2.0,0.5,0.8,7.0,7.6,1.3,-3.11
anger,last_token,-1.0,0.3,0.8,7.35,8.25,0.4,-2.18
anger,last_token,0.0,0.45,0.7,7.45,8.15,0.8,-2.3099999999999996
anger,last_token,1.0,1.0,1.3,8.05,8.15,1.05,-1.6349999999999998
anger,last_token,2.0,0.75,0.5,7.8,8.2,0.85,-1.845
anger,last_token,3.0,0.9,0.6,6.9,7.35,1.95,-3.34
anger,last_token,5.0,0.65,0.35,6.2,6.45,2.5,-4.7749999999999995
anger,last_token,8.0,0.35,0.0,0.05,0.05,9.4,-16.18
anger,none,-8.0,0.7,0.7,7.55,8.05,0.5,-1.85
anger,none,-5.0,0.65,0.6,7.6,8.05,0.55,-1.9100000000000001
anger,none,-3.0,0.35,0.6,7.1,7.75,0.15,-2.33
anger,none,-2.0,0.75,0.7,7.45,8.0,0.5,-1.875
anger,none,-1.0,0.45,0.75,7.5,8.0,0.65,-2.255
anger,none,0.0,0.7,0.7,7.7,7.8,0.4,-1.83
anger,none,1.0,0.8,0.7,7.55,7.8,0.45,-1.8399999999999999
anger,none,2.0,0.8,0.6,7.5,7.65,0.6,-2.045
anger,none,3.0,0.8,0.45,7.6,7.85,0.45,-1.7899999999999998
anger,none,5.0,0.9,0.7,7.6,8.25,0.45,-1.49
anger,none,8.0,0.85,0.7,7.7,7.95,0.3,-1.535
anticipation,completion_tokens,-8.0,1.15,0.65,1.65,1.6,8.3,-13.035
anticipation,completion_tokens,-5.0,4.0,1.05,6.65,7.75,1.8,-0.05999999999999996
anticipation,completion_tokens,-3.0,4.55,1.0,7.0,7.25,2.85,-0.31999999999999995
anticipation,completion_tokens,-2.0,4.95,1.05,7.75,7.95,1.8,1.54
anticipation,completion_tokens,-1.0,4.7,1.0,7.95,8.15,1.65,1.595
anticipation,completion_tokens,0.0,4.7,1.0,8.0,8.1,1.7,1.56
anticipation,completion_tokens,1.0,4.9,0.95,7.8,8.1,1.8,1.59
anticipation,completion_tokens,2.0,4.7,0.95,8.3,8.45,1.5,2.025
anticipation,completion_tokens,3.0,4.4,0.95,7.6,7.75,2.2,0.5350000000000001
anticipation,completion_tokens,5.0,3.75,1.1,6.8,6.55,3.45,-1.9899999999999998
anticipation,completion_tokens,8.0,0.05,0.1,0.1,0.1,8.55,-15.834999999999999
anticipation,last_token,-8.0,0.5,0.45,0.65,1.05,9.05,-14.985
anticipation,last_token,-5.0,3.5,1.2,6.15,6.5,2.15,-1.6799999999999997
anticipation,last_token,-3.0,4.1,1.35,6.65,7.4,2.7,-0.7649999999999999
anticipation,last_token,-2.0,4.4,1.05,7.6,7.65,2.1,0.5550000000000002
anticipation,last_token,-1.0,4.45,1.0,7.8,7.9,2.0,0.9
anticipation,last_token,0.0,4.35,1.0,7.75,7.8,1.3,1.215
anticipation,last_token,1.0,5.2,1.05,8.35,8.4,1.65,2.42
anticipation,last_token,2.0,5.05,0.95,8.45,8.2,1.75,2.15
anticipation,last_token,3.0,4.35,1.0,7.6,7.7,2.4,0.3200000000000001
anticipation,last_token,5.0,3.65,1.1,6.7,6.55,3.4,-2.1049999999999995
anticipation,last_token,8.0,0.05,0.1,0.1,0.1,9.05,-16.185
anticipation,none,-8.0,4.4,1.1,7.7,7.9,1.25,1.325
anticipation,none,-5.0,4.2,1.0,7.55,7.65,1.4,0.82
anticipation,none,-3.0,4.35,1.15,7.65,7.55,1.35,1.0050000000000001
anticipation,none,-2.0,4.4,1.1,7.7,7.85,1.3,1.2650000000000001
anticipation,none,-1.0,4.1,0.85,7.75,7.5,1.7,0.535
anticipation,none,0.0,4.25,0.75,7.75,7.85,1.2,1.21
anticipation,none,1.0,5.1,0.85,7.6,7.4,1.3,1.69
anticipation,none,2.0,4.7,0.9,7.85,7.6,1.7,1.235
anticipation,none,3.0,4.95,1.1,7.85,7.8,1.7,1.5850000000000002
anticipation,none,5.0,4.75,1.05,7.75,7.6,1.7,1.235
anticipation,none,8.0,5.2,0.9,7.95,7.95,1.45,2.1350000000000002
disgust,completion_tokens,-8.0,0.35,1.95,0.65,0.9,8.85,-15.069999999999999
disgust,completion_tokens,-5.0,0.2,6.1,6.35,7.85,1.55,-3.785
disgust,completion_tokens,-3.0,0.3,6.7,5.55,7.0,2.2,-4.965
disgust,completion_tokens,-2.0,0.2,5.65,6.9,7.95,0.65,-2.83
disgust,completion_tokens,-1.0,0.2,6.25,7.45,8.4,0.3,-2.085
disgust,completion_tokens,0.0,0.4,5.35,7.45,8.3,0.75,-2.25
disgust,completion_tokens,1.0,0.45,6.1,7.45,8.1,0.85,-2.37
disgust,completion_tokens,2.0,0.55,5.65,7.9,8.55,0.75,-1.75
disgust,completion_tokens,3.0,0.6,5.9,7.3,7.7,1.95,-3.2649999999999997
disgust,completion_tokens,5.0,0.75,5.15,5.95,6.7,2.9,-4.955
disgust,completion_tokens,8.0,0.0,0.0,0.05,0.1,9.3,-16.435
disgust,last_token,-8.0,0.25,1.8,0.75,1.25,8.65,-14.805000000000001
disgust,last_token,-5.0,0.25,6.0,5.85,7.3,2.05,-4.61
disgust,last_token,-3.0,0.35,6.1,6.05,6.75,1.75,-4.475
disgust,last_token,-2.0,0.3,7.0,6.9,7.75,1.6,-3.4949999999999997
disgust,last_token,-1.0,0.15,6.55,7.2,8.1,1.1,-2.9699999999999998
disgust,last_token,0.0,0.25,4.85,7.25,7.6,0.1,-2.395
disgust,last_token,1.0,0.5,5.6,7.7,8.2,0.7,-2.04
disgust,last_token,2.0,0.55,5.65,7.65,8.3,1.0,-2.175
disgust,last_token,3.0,0.65,5.75,6.9,7.85,1.85,-3.2699999999999996
disgust,last_token,5.0,0.6,4.75,5.95,6.1,3.0,-5.475
disgust,last_token,8.0,0.1,0.0,0.05,0.05,9.6,-16.57
disgust,none,-8.0,0.4,4.95,7.2,7.5,0.55,-2.635
disgust,none,-5.0,0.4,4.95,7.35,7.55,0.65,-2.605
disgust,none,-3.0,0.4,5.4,7.35,7.65,0.65,-2.555
disgust,none,-2.0,0.3,5.15,7.2,7.55,0.2,-2.465
disgust,none,-1.0,0.25,4.8,7.1,7.4,0.25,-2.675
disgust,none,0.0,0.25,4.55,7.2,7.7,0.2,-2.44
disgust,none,1.0,0.4,5.05,7.2,7.65,0.6,-2.5949999999999998
disgust,none,2.0,0.5,4.95,7.3,7.8,0.85,-2.545
disgust,none,3.0,0.45,5.05,7.4,7.95,0.55,-2.2600000000000002
disgust,none,5.0,0.45,5.2,7.6,7.95,0.65,-2.23
disgust,none,8.0,0.4,5.5,7.15,7.75,0.5,-2.5
fear,completion_tokens,-8.0,0.25,0.1,0.85,1.5,8.5,-14.525
fear,completion_tokens,-5.0,1.15,0.25,5.95,7.65,1.7,-3.2399999999999998
fear,completion_tokens,-3.0,1.15,0.2,6.4,7.45,1.3,-2.835
fear,completion_tokens,-2.0,1.55,0.3,7.75,8.15,1.4,-1.48
fear,completion_tokens,-1.0,1.35,0.25,7.6,7.9,0.75,-1.425
fear,completion_tokens,0.0,1.3,0.55,7.95,8.15,1.05,-1.385
fear,completion_tokens,1.0,1.75,0.7,8.0,8.45,0.85,-0.62
fear,completion_tokens,2.0,1.65,0.55,8.45,8.75,0.85,-0.34500000000000003
fear,completion_tokens,3.0,1.5,0.55,6.95,7.85,2.35,-2.7449999999999997
fear,completion_tokens,5.0,1.4,0.7,5.65,5.8,3.3,-5.185
fear,completion_tokens,8.0,0.0,0.0,0.05,0.15,9.1,-16.27
fear,last_token,-8.0,0.45,0.2,0.75,1.2,8.7,-14.665000000000001
fear,last_token,-5.0,1.25,0.35,5.6,7.15,1.9,-3.7049999999999996
fear,last_token,-3.0,1.2,0.2,5.95,6.3,2.1,-4.145
fear,last_token,-2.0,1.2,0.25,7.0,7.45,2.3,-3.1849999999999996
fear,last_token,-1.0,1.4,0.2,7.6,8.05,1.5,-1.825
fear,last_token,0.0,1.45,0.6,7.75,8.25,0.6,-0.97
fear,last_token,1.0,1.65,0.5,8.3,8.45,0.85,-0.5700000000000001
fear,last_token,2.0,1.75,0.55,8.25,8.4,1.0,-0.6249999999999999
fear,last_token,3.0,1.7,0.55,7.0,7.7,2.5,-2.7
fear,last_token,5.0,1.35,0.65,5.45,5.5,3.3,-5.484999999999999
fear,last_token,8.0,0.1,0.0,0.05,0.05,9.2,-16.29
fear,none,-8.0,1.4,0.65,7.75,8.15,0.8,-1.21
fear,none,-5.0,1.3,0.6,7.8,7.7,1.05,-1.6849999999999998
fear,none,-3.0,1.45,0.55,7.65,7.95,0.9,-1.38
fear,none,-2.0,1.45,0.6,7.9,7.75,0.75,-1.2499999999999998
fear,none,-1.0,1.2,0.55,7.7,7.6,0.7,-1.64
fear,none,0.0,1.05,0.55,7.7,8.15,0.6,-1.4449999999999998
fear,none,1.0,1.3,0.6,7.6,7.6,0.7,-1.5899999999999999
fear,none,2.0,1.35,0.6,7.7,7.6,0.75,-1.525
fear,none,3.0,1.25,0.6,7.75,7.65,0.8,-1.6099999999999999
fear,none,5.0,1.4,0.6,7.75,7.95,1.2,-1.5899999999999999
fear,none,8.0,1.45,0.65,7.85,7.95,1.1,-1.4199999999999997
joy,completion_tokens,-8.0,0.5,0.8,0.8,1.25,8.3,-14.285
joy,completion_tokens,-5.0,2.9,1.15,5.4,6.25,3.4,-3.655
joy,completion_tokens,-3.0,3.65,1.3,6.55,6.75,2.25,-1.275
joy,completion_tokens,-2.0,3.95,1.4,7.8,7.95,1.55,0.7400000000000001
joy,completion_tokens,-1.0,4.0,1.3,7.95,7.7,1.7,0.635
joy,completion_tokens,0.0,4.0,1.2,7.65,7.85,1.0,1.05
joy,completion_tokens,1.0,4.0,0.95,7.3,7.5,1.4,0.41999999999999993
joy,completion_tokens,2.0,4.3,1.65,8.35,8.3,1.0,1.925
joy,completion_tokens,3.0,3.4,1.65,6.85,7.2,2.65,-1.4299999999999997
joy,completion_tokens,5.0,2.85,1.6,6.45,6.55,3.2,-2.8899999999999997
joy,completion_tokens,8.0,0.0,0.0,0.1,0.1,9.15,-16.305
joy,last_token,-8.0,0.2,2.0,0.4,0.8,9.1,-15.570000000000002
joy,last_token,-5.0,2.25,1.3,5.55,5.75,3.4,-4.4799999999999995
joy,last_token,-3.0,3.85,1.45,7.1,7.15,2.8,-0.985
joy,last_token,-2.0,3.7,1.35,7.65,7.75,1.85,0.10500000000000016
joy,last_token,-1.0,3.6,1.3,7.7,7.7,1.7,0.10999999999999996
joy,last_token,0.0,3.65,0.9,7.5,7.5,0.85,0.5549999999999999
joy,last_token,1.0,4.3,1.3,7.95,8.05,1.1,1.5299999999999998
joy,last_token,2.0,4.5,1.55,8.1,8.2,1.55,1.565
joy,last_token,3.0,3.7,1.75,6.85,7.15,3.1,-1.4699999999999995
joy,last_token,5.0,2.85,1.45,6.1,6.45,3.2,-3.1149999999999993
joy,last_token,8.0,0.0,0.0,0.05,0.05,9.6,-16.669999999999998
joy,none,-8.0,3.7,1.1,7.45,7.35,1.2,0.2599999999999999
joy,none,-5.0,3.7,1.3,7.5,7.55,1.1,0.45499999999999996
joy,none,-3.0,3.6,1.1,7.6,7.6,1.1,0.43
joy,none,-2.0,3.7,1.05,7.55,7.65,0.8,0.7399999999999999
joy,none,-1.0,3.5,1.15,7.7,7.45,1.5,0.024999999999999956
joy,none,0.0,3.6,0.7,7.45,7.2,0.6,0.5049999999999999
joy,none,1.0,3.85,0.8,7.35,7.15,1.4,0.11999999999999984
joy,none,2.0,3.85,1.4,7.75,7.7,1.45,0.5599999999999999
joy,none,3.0,3.85,1.1,7.65,7.5,1.25,0.55
joy,none,5.0,3.85,1.1,7.55,7.35,1.25,0.425
joy,none,8.0,3.9,1.05,7.5,7.4,1.2,0.51
sadness,completion_tokens,-8.0,0.5,1.05,0.5,0.8,9.0,-15.15
sadness,completion_tokens,-5.0,1.2,3.15,5.9,7.35,2.3,-3.785
sadness,completion_tokens,-3.0,1.4,4.85,5.9,7.15,2.95,-4.14
sadness,completion_tokens,-2.0,1.45,4.1,6.75,8.05,1.55,-2.235
sadness,completion_tokens,-1.0,1.4,4.35,7.45,8.1,1.4,-1.8050000000000002
sadness,completion_tokens,0.0,1.45,3.4,7.45,7.9,0.75,-1.4
sadness,completion_tokens,1.0,1.9,3.8,8.0,8.35,1.05,-0.6599999999999999
sadness,completion_tokens,2.0,2.0,3.85,7.75,8.45,1.15,-0.705
sadness,completion_tokens,3.0,2.25,3.9,7.15,8.15,2.0,-1.5
sadness,completion_tokens,5.0,2.1,3.2,5.6,6.1,3.75,-4.674999999999999
sadness,completion_tokens,8.0,0.1,0.4,0.05,0.0,9.1,-16.244999999999997
sadness,last_token,-8.0,0.4,1.9,0.7,1.3,8.8,-14.76
sadness,last_token,-5.0,1.35,3.45,5.4,6.45,2.4,-4.404999999999999
sadness,last_token,-3.0,1.3,5.4,5.5,6.6,3.5,-5.1
sadness,last_token,-2.0,1.3,4.7,6.7,7.7,2.2,-3.04
sadness,last_token,-1.0,1.2,4.2,7.1,7.85,1.55,-2.41
sadness,last_token,0.0,1.4,3.65,7.3,7.9,0.75,-1.525
sadness,last_token,1.0,1.9,4.15,7.7,8.05,1.0,-0.925
sadness,last_token,2.0,2.2,4.1,7.45,7.35,2.35,-2.0449999999999995
sadness,last_token,3.0,2.25,3.6,7.0,7.55,2.4,-2.155
sadness,last_token,5.0,2.0,2.95,5.55,5.5,3.7,-5.0649999999999995
sadness,last_token,8.0,0.15,0.4,0.0,0.0,9.6,-16.57
sadness,none,-8.0,1.45,3.75,7.4,7.75,0.95,-1.64
sadness,none,-5.0,1.35,3.7,7.25,7.65,0.9,-1.83
sadness,none,-3.0,1.35,3.7,7.25,7.65,0.85,-1.795
sadness,none,-2.0,1.4,3.9,7.25,7.65,0.85,-1.7449999999999999
sadness,none,-1.0,1.35,3.65,7.25,7.6,0.95,-1.89
sadness,none,0.0,1.2,3.7,7.25,7.6,0.65,-1.83
sadness,none,1.0,1.35,3.65,7.15,7.5,0.85,-1.92
sadness,none,2.0,1.45,3.6,7.15,7.55,1.0,-1.9
sadness,none,3.0,1.45,3.5,7.05,7.45,1.1,-2.07
sadness,none,5.0,1.55,3.4,7.35,7.65,0.9,-1.5799999999999998
sadness,none,8.0,1.55,3.35,7.3,7.5,1.05,-1.7850000000000001
surprise,completion_tokens,-8.0,0.4,0.55,0.7,0.7,9.05,-15.235
surprise,completion_tokens,-5.0,1.5,2.3,5.95,7.05,2.8,-3.9599999999999995
surprise,completion_tokens,-3.0,1.6,1.6,5.9,6.45,3.45,-4.64
surprise,completion_tokens,-2.0,1.4,2.05,5.85,6.8,1.95,-3.6399999999999997
surprise,completion_tokens,-1.0,1.9,2.25,7.65,8.3,1.5,-1.175
surprise,completion_tokens,0.0,2.1,2.3,7.6,8.2,1.0,-0.7
