condition,n_dims,bal_acc,std
original,2,0.133125,0.0025430324199445143
original,4,0.13697916666666665,0.0021600459743049793
original,8,0.24135416666666662,0.006079265192256188
original,16,0.519375,0.014984801327789902
original,32,0.7369791666666666,0.008378782313412615
original,64,0.8214583333333334,0.00942924123552775
residualized,2,0.13229166666666664,0.002234126103075744
residualized,4,0.15,0.0038836149754806794
residualized,8,0.31645833333333334,0.0048702790531504085
residualized,16,0.5240625,0.0119333362430164
residualized,32,0.7473958333333333,0.009346020023399118
residualized,64,0.8233333333333333,0.011245176435056757
