layer,condition,bal_acc,std,mean_consistency
8,original,0.7565625,0.007007870079814227,0.0
8,residualized,0.7565625,0.007007870079814227,0.0
10,original,0.7578125000000001,0.004576225549268532,0.6839615106582642
10,residualized,0.7576041666666666,0.004015486514040942,0.1368538737297058
13,original,0.7147916666666665,0.006739510883175742,0.7148798108100891
13,residualized,0.7108333333333332,0.008792061602503815,0.14770711958408356
16,original,0.45875000000000005,0.002990145853001517,0.6925837397575378
16,residualized,0.45999999999999996,0.0049891375061783625,0.1270897388458252
19,original,0.33156250000000004,0.0075014466197453385,0.708163321018219
19,residualized,0.3338541666666667,0.008494534599114647,0.11490992456674576
22,original,0.25927083333333334,0.013801198871032113,0.7300868630409241
22,residualized,0.26010416666666664,0.012060862727111293,0.10230690985918045
