target_emotion,steering_condition,meaning_preserved,emotionality,target_emotion_match
anger,g,0.925,0.81,0.395
anger,g+resid,0.925,0.815,0.41
anger,none,0.92,0.835,0.4
anger,original_caa,0.93,0.81,0.415
anger,resid,0.95,0.84,0.415
anticipation,g,0.985,0.815,0.33
anticipation,g+resid,0.97,0.825,0.32
anticipation,none,0.94,0.86,0.3
anticipation,original_caa,0.965,0.83,0.335
anticipation,resid,0.95,0.865,0.33
disgust,g,0.965,0.83,0.315
disgust,g+resid,0.985,0.82,0.34
disgust,none,0.96,0.855,0.3
disgust,original_caa,0.955,0.815,0.32
disgust,resid,0.96,0.855,0.295
fear,g,0.985,0.815,0.245
fear,g+resid,0.965,0.8,0.255
fear,none,0.95,0.84,0.22
fear,original_caa,0.965,0.82,0.27
fear,resid,0.96,0.845,0.31
joy,g,0.98,0.845,0.26
joy,g+resid,0.95,0.835,0.27
joy,none,0.935,0.85,0.27
joy,original_caa,0.955,0.845,0.27
joy,resid,0.935,0.855,0.29
sadness,g,0.99,0.835,0.61
sadness,g+resid,0.96,0.825,0.61
sadness,none,0.965,0.87,0.56
sadness,original_caa,0.96,0.84,0.6
sadness,resid,0.96,0.865,0.6
surprise,g,0.975,0.81,0.29
surprise,g+resid,0.955,0.83,0.325
surprise,none,0.945,0.84,0.25
surprise,original_caa,0.97,0.825,0.3
surprise,resid,0.955,0.855,0.275
trust,g,0.98,0.83,0.345
trust,g+resid,0.99,0.8,0.385
trust,none,0.955,0.855,0.3
trust,original_caa,0.985,0.81,0.36
trust,resid,0.965,0.85,0.34
