a,b,target_intensity,median_cos
joy,trust,low,0.20542655885219574
joy,trust,high,0.3326641321182251
joy,trust,medium,0.27996203303337097
joy,fear,low,0.2945123314857483
joy,fear,high,0.421187162399292
joy,fear,medium,0.3996574282646179
joy,surprise,low,0.35134193301200867
joy,surprise,high,0.36873576045036316
joy,surprise,medium,0.37495726346969604
joy,sadness,low,0.28066423535346985
joy,sadness,high,0.3667638897895813
joy,sadness,medium,0.3438377380371094
joy,disgust,low,0.2926400899887085
joy,disgust,high,0.3935125768184662
joy,disgust,medium,0.37053996324539185
joy,anger,low,0.31427454948425293
joy,anger,high,0.4024837017059326
joy,anger,medium,0.3819250464439392
joy,anticipation,low,0.259029746055603
joy,anticipation,high,0.2982332706451416
joy,anticipation,medium,0.28315281867980957
trust,joy,low,0.20542655885219574
trust,joy,high,0.3326641321182251
trust,joy,medium,0.27996203303337097
trust,fear,low,0.2735411822795868
trust,fear,high,0.406990110874176
trust,fear,medium,0.3753204047679901
trust,surprise,low,0.3397904932498932
trust,surprise,high,0.4647849202156067
trust,surprise,medium,0.41557568311691284
trust,sadness,low,0.3041873574256897
trust,sadness,high,0.39351677894592285
trust,sadness,medium,0.3704169988632202
trust,disgust,low,0.3066968321800232
trust,disgust,high,0.40541303157806396
trust,disgust,medium,0.37277716398239136
trust,anger,low,0.3223433494567871
trust,anger,high,0.42932313680648804
trust,anger,medium,0.3878561854362488
trust,anticipation,low,0.2567647099494934
trust,anticipation,high,0.30499884486198425
trust,anticipation,medium,0.2892732620239258
fear,joy,low,0.2945123314857483
fear,joy,high,0.421187162399292
fear,joy,medium,0.3996574282646179
fear,trust,low,0.2735411822795868
fear,trust,high,0.406990110874176
fear,trust,medium,0.3753204047679901
fear,surprise,low,0.29936861991882324
fear,surprise,high,0.43074777722358704
fear,surprise,medium,0.3988424241542816
fear,sadness,low,0.19807450473308563
fear,sadness,high,0.28325507044792175
fear,sadness,medium,0.2691282331943512
fear,disgust,low,0.2215346097946167
fear,disgust,high,0.3241059482097626
fear,disgust,medium,0.30257418751716614
fear,anger,low,0.2327694445848465
fear,anger,high,0.33141541481018066
fear,anger,medium,0.30432501435279846
fear,anticipation,low,0.2065766155719757
fear,anticipation,high,0.34839296340942383
fear,anticipation,medium,0.3105538785457611
surprise,joy,low,0.35134193301200867
surprise,joy,high,0.36873576045036316
surprise,joy,medium,0.37495726346969604
surprise,trust,low,0.3397904932498932
surprise,trust,high,0.4647849202156067
surprise,trust,medium,0.41557568311691284
surprise,fear,low,0.29936861991882324
surprise,fear,high,0.43074777722358704
surprise,fear,medium,0.3988424241542816
surprise,sadness,low,0.26215285062789917
surprise,sadness,high,0.39673304557800293
surprise,sadness,medium,0.33536335825920105
surprise,disgust,low,0.2596468925476074
surprise,disgust,high,0.4073777198791504
surprise,disgust,medium,0.3481980562210083
surprise,anger,low,0.2956501543521881
surprise,anger,high,0.4017457365989685
surprise,anger,medium,0.35313916206359863
surprise,anticipation,low,0.3563632369041443
surprise,anticipation,high,0.4297083616256714
surprise,anticipation,medium,0.39502111077308655
sadness,joy,low,0.28066423535346985
sadness,joy,high,0.3667638897895813
sadness,joy,medium,0.3438377380371094
sadness,trust,low,0.3041873574256897
sadness,trust,high,0.39351677894592285
