a,b,c,res_ratio,cos
joy,trust,fear,1.1634092089707337e-07,1.0
joy,trust,surprise,1.2502553659032856e-07,0.9999999403953552
joy,trust,sadness,1.1354189410894833e-07,1.0000001192092896
joy,trust,disgust,1.2197031651339785e-07,1.0
joy,trust,anger,1.225800474458083e-07,0.9999999403953552
joy,trust,anticipation,1.109599025994612e-07,1.0
joy,fear,trust,1.8053668782158638e-07,1.0
joy,fear,surprise,1.3687154876151908e-07,1.0
joy,fear,sadness,1.1816794653896068e-07,1.0000001192092896
joy,fear,disgust,1.2560028039843019e-07,1.0
joy,fear,anger,1.204092541229329e-07,0.9999999403953552
joy,fear,anticipation,1.4959508121137333e-07,1.0
joy,surprise,trust,1.7415615616300784e-07,1.0
joy,surprise,fear,1.2472182220335526e-07,1.0
joy,surprise,sadness,1.2020306883187004e-07,1.0000001192092896
joy,surprise,disgust,1.2006535143882502e-07,1.0
joy,surprise,anger,1.161109395297899e-07,1.0
joy,surprise,anticipation,1.6121013857173239e-07,1.0
joy,sadness,trust,1.5228462757477246e-07,1.0
joy,sadness,fear,1.0213395285063598e-07,1.0
joy,sadness,surprise,1.1281754552783241e-07,0.9999998807907104
joy,sadness,disgust,1.0605349842762735e-07,1.0
joy,sadness,anger,1.0408842143760921e-07,1.0
joy,sadness,anticipation,1.2715538844076946e-07,1.0
joy,disgust,trust,1.814027967839138e-07,1.0
joy,disgust,fear,1.2038654517709801e-07,1.0
joy,disgust,surprise,1.2792428094599018e-07,0.9999999403953552
joy,disgust,sadness,1.1667942345638949e-07,1.0000001192092896
joy,disgust,anger,1.0918618187361062e-07,0.9999999403953552
joy,disgust,anticipation,1.7058691526017355e-07,1.0
joy,anger,trust,1.9001875273261248e-07,1.0
joy,anger,fear,1.2091258838609065e-07,1.0
joy,anger,surprise,1.2672499849486485e-07,0.9999999403953552
joy,anger,sadness,1.2103960500553512e-07,1.0000001192092896
joy,anger,disgust,1.1279630740546054e-07,1.0
joy,anger,anticipation,1.6479290820825554e-07,1.0
joy,anticipation,trust,1.1655535558929841e-07,1.0
joy,anticipation,fear,1.017391184632288e-07,0.9999999403953552
joy,anticipation,surprise,1.1891494722249263e-07,0.9999999403953552
joy,anticipation,sadness,1.012819978996049e-07,1.0000001192092896
joy,anticipation,disgust,1.1990196924216434e-07,1.0
joy,anticipation,anger,1.1038410008268329e-07,0.9999999403953552
trust,joy,fear,1.2735324617096921e-07,1.0
trust,joy,surprise,1.0810317974119243e-07,1.0
trust,joy,sadness,1.0460770738518477e-07,1.0
trust,joy,disgust,1.212096236713478e-07,1.0
trust,joy,anger,1.2004562677248032e-07,1.0
trust,joy,anticipation,1.1045565884160169e-07,0.9999999403953552
trust,fear,joy,1.8053668782158638e-07,1.0
trust,fear,surprise,1.242029554759938e-07,1.0
trust,fear,sadness,1.0597347710472604e-07,0.9999999403953552
