k,silhouette,inertia,ari_vs_plutchik,nmi_vs_plutchik
2,0.05101534351706505,102439.53125,0.02381359416475003,0.03939040100367127
3,0.038994573056697845,98888.3125,0.11380047025822515,0.17411185540695806
4,0.029117340222001076,96824.8515625,0.10681671538633891,0.18895705229804322
5,0.025983901694417,95088.03125,0.10161652446685027,0.19534763333204616
6,0.012769012711942196,93739.734375,0.11055648833664776,0.19895700700230043
7,0.014449509792029858,92646.734375,0.13897305363818369,0.24002869616534397
8,0.01112722884863615,91681.28125,0.14649848547352343,0.24269604741024864
9,0.005574468057602644,90834.609375,0.15396658002498545,0.2670328630350317
10,0.007142735179513693,90166.1875,0.16390612220556017,0.28177885542375863
11,0.0025164862163364887,89630.4296875,0.1627225044485307,0.28921953191274413
12,0.003092700382694602,89165.0703125,0.17174199486620922,0.3048779629650629
13,0.002472215797752142,88650.625,0.15770299556973955,0.2937733777626903
14,-0.0016177460784092546,88227.7734375,0.16858217682475868,0.3076827814582794
15,0.0018746975110843778,87775.9921875,0.1748705967143027,0.31463408870395326
16,0.002570720622316003,87477.6640625,0.17428832519482487,0.3136059579747466
