layer,task,acc,bal_acc,f1
8,emotion,0.8075,0.8091494914373429,0.8080617262100018
8,intensity,0.63825,0.6363291188090084,0.6339911202233153
10,emotion,0.81175,0.8130550727676896,0.8122740808569161
10,intensity,0.635,0.6329691691356382,0.6305858105440368
13,emotion,0.8155,0.8170817342602492,0.8164630890667135
13,intensity,0.64075,0.6389167352669716,0.6374873130327214
16,emotion,0.7855,0.7872438738610941,0.7860288768428914
16,intensity,0.6305,0.6286089446896143,0.6263606224266886
19,emotion,0.75125,0.7529204829881084,0.7516830027053568
19,intensity,0.60125,0.5992367251355978,0.5963777153166645
22,emotion,0.7225,0.7244951254955406,0.723034455138259
22,intensity,0.60225,0.6001165003297892,0.597192210688431
