emotion,local_pc,cos_gPC1,cos_gPC2,cos_gPC3,cos_gPC4,cos_v_int,max_cos,best_match
joy,PC1,0.175,0.405,0.173,0.099,0.185,0.405,gPC2
joy,PC2,0.042,0.44,0.116,0.232,0.522,0.522,v_int
joy,PC3,0.438,0.102,0.215,0.314,0.036,0.438,gPC1
trust,PC1,0.115,0.334,0.117,0.279,0.082,0.334,gPC2
trust,PC2,0.448,0.306,0.203,0.035,0.371,0.448,gPC1
trust,PC3,0.172,0.164,0.044,0.268,0.114,0.268,gPC4
fear,PC1,0.259,0.406,0.237,0.287,0.114,0.406,gPC2
fear,PC2,0.239,0.417,0.24,0.083,0.361,0.417,gPC2
fear,PC3,0.144,0.052,0.081,0.074,0.035,0.144,gPC1
surprise,PC1,0.064,0.569,0.193,0.018,0.432,0.569,gPC2
surprise,PC2,0.174,0.318,0.023,0.294,0.075,0.318,gPC2
surprise,PC3,0.126,0.256,0.116,0.238,0.174,0.256,gPC2
sadness,PC1,0.218,0.402,0.069,0.17,0.03,0.402,gPC2
sadness,PC2,0.291,0.411,0.174,0.162,0.374,0.411,gPC2
sadness,PC3,0.0,0.087,0.055,0.207,0.027,0.207,gPC4
disgust,PC1,0.146,0.419,0.092,0.233,0.073,0.419,gPC2
disgust,PC2,0.309,0.316,0.157,0.025,0.38,0.38,v_int
disgust,PC3,0.154,0.11,0.077,0.197,0.057,0.197,gPC4
anger,PC1,0.201,0.315,0.019,0.267,0.0,0.315,gPC2
anger,PC2,0.199,0.521,0.202,0.039,0.415,0.521,gPC2
anger,PC3,0.173,0.222,0.095,0.143,0.144,0.222,gPC2
anticipation,PC1,0.315,0.303,0.323,0.275,0.051,0.323,gPC3
anticipation,PC2,0.372,0.527,0.177,0.023,0.275,0.527,gPC2
anticipation,PC3,0.336,0.056,0.023,0.152,0.018,0.336,gPC1
