emotion,local_pc,evr,top1_attr,top1_rho,top2_attr,top2_rho,top3_attr,top3_rho,margin_top1_top2_abs,max_cos_global,novelty_score,top1_rho_partial_intensity_and_judgeEI,top1_abs_drop_ratio,top1_sign_stable
anticipation,PC1,0.07406551390886307,hope,-0.7416411140622314,dominance,-0.7344548886261887,uncertainty,0.7298784111007994,0.007186225436042748,0.3231808543205261,0.5019569052203727,-0.6659510856709884,0.10205748704607533,True
trust,PC1,0.09665225446224213,valence,-0.5805477487965268,certainty,-0.5742686139374844,uncertainty,0.5741970946221194,0.006279134859042412,0.33423012495040894,0.386511202176585,-0.5336113301572459,0.08084850683958364,True
joy,PC1,0.14138643443584442,valence,-0.6440360644725285,certainty,-0.6255064460914331,dominance,-0.5575751202189438,0.018529618381095347,0.40525907278060913,0.383034606147119,-0.6748552861524774,-0.04785325446827285,True
fear,PC2,0.04287630319595337,dominance,0.6244417463830788,agency,0.6055929928918711,valence,0.6027212036206243,0.018848753491207737,0.4171009063720703,0.3639865279901382,0.4691417938919041,0.2487020661105868,True
surprise,PC2,0.06019975617527962,emotional_intensity,-0.4733153563896793,arousal,-0.46637588570657595,gratitude,-0.3378725993714281,0.006939470683103355,0.31773874163627625,0.32292473065329697,,,False
trust,PC3,0.03273506835103035,gratitude,-0.43500132658172325,social_warmth,-0.3869957188151743,valence,-0.3674149505652274,0.04800560776654894,0.26834970712661743,0.31826884799382776,-0.37528984936782833,0.13726734509780164,True
sadness,PC3,0.034722842276096344,injustice,0.3693676809236157,emotional_intensity,0.30275713982075114,valence,-0.2911167311917215,0.06661054110286457,0.20651793479919434,0.2930866302777028,0.2572810056955706,0.3034555566631298,True
joy,PC2,0.04779679328203201,arousal,0.6112614618179764,emotional_intensity,0.5437014858195823,surprise_valence,0.5121058476911693,0.06755997599839403,0.5217820405960083,0.2923162089328936,0.24430974991703192,0.6003187421788038,True
disgust,PC1,0.081529401242733,emotional_intensity,-0.47688005219150226,surprise_valence,0.47090908277136584,valence,0.4486621547024244,0.005970969420136418,0.4186232089996338,0.27724699443518275,,,False
anger,PC3,0.035608720034360886,agency,0.3529848486922965,dominance,0.2729269128582077,arousal,-0.16573632602805907,0.08005793583408882,0.22198902070522308,0.2746260878073123,0.33742949867430017,0.0440680388283641,True
fear,PC3,0.034614384174346924,arousal,-0.3050120249799822,emotional_intensity,-0.27886834235362284,dominance,0.2609252957932107,0.026143682626359355,0.14360201358795166,0.26121168402431816,-0.16272289723588593,0.4665033378714647,True
disgust,PC2,0.040800780057907104,injustice,0.41285760747346417,blame,0.3972105223811516,social_warmth,-0.37888675386717086,0.01564708509231255,0.37989747524261475,0.25601404475958867,0.3549257372844125,0.14031925085157876,True
sadness,PC1,0.08519881218671799,surprise_valence,0.4102178974462825,valence,0.36635651022252996,hope,0.2882876313573067,0.043861387223752546,0.4023798108100891,0.24515449748093482,0.38753795133985947,0.05528755875258454,True
anger,PC1,0.06890901178121567,gratitude,0.32718512164106756,social_warmth,0.3125453179157815,valence,0.24058280820847508,0.01463980372528606,0.3148353695869446,0.22417567294585264,0.2736700860515754,0.1635619471969751,True
fear,PC1,0.08526382595300674,uncertainty,0.36174223862255245,disappointment,0.21145576428531315,certainty,-0.1905893951549473,0.1502864743372393,0.4060349762439728,0.21486223735700283,0.32185869586583654,0.11025403864526592,True
anger,PC2,0.04844515025615692,valence,-0.4448896143587662,arousal,0.44022519524357895,injustice,0.4365710208316064,0.004664419115187279,0.5212396383285522,0.21299551267427383,-0.271785224312905,0.38909514733303485,True
surprise,PC3,0.04497363418340683,surprise_valence,-0.28272974282679436,hope,-0.2581579698270831,disappointment,0.2446878047287508,0.02457177299971125,0.2562709450721741,0.21027432443255903,-0.2438113638317431,0.13765222790477127,True
trust,PC2,0.04598517715930939,blame,0.3662954494879495,injustice,0.35485318202837957,hope,-0.3545264901720337,0.011442267459569944,0.4475551247596741,0.20235804389346937,0.34940414190739366,0.046113888676936846,True
joy,PC3,0.03820037469267845,agency,-0.33034238458958703,valence,-0.3222087722389558,surprise_valence,-0.3160263490628144,0.008133612350631259,0.438151478767395,0.18560238028211196,-0.24810061398540537,0.2489591842910432,True
sadness,PC2,0.042029522359371185,relief,0.3009113893821846,disappointment,-0.24601663492138082,valence,0.24426659331987916,0.054894754460803774,0.41087067127227783,0.17727572483325263,0.23042918086483397,0.2342291152955725,True
anticipation,PC2,0.05670822784304619,arousal,-0.3514806293898468,emotional_intensity,-0.27805351670408046,relief,0.23896873900331136,0.07342711268576635,0.5265594720840454,0.16640517473056105,-0.330982888474547,0.05831826621820639,True
anticipation,PC3,0.03266916424036026,gratitude,0.2319615412911386,blame,0.17606193625635425,surprise_valence,-0.1675175216603074,0.05589960503478436,0.33550554513931274,0.15413715792889995,0.20997479998019467,0.09478614941322551,True
disgust,PC3,0.03484557569026947,relief,-0.19072787395442484,blame,-0.16025934575859044,loneliness,0.1540617110196428,0.0304685281958344,0.19686806201934814,0.15317964703594672,-0.22969544187719965,-0.2043097692793779,True
surprise,PC1,0.06994615495204926,hope,0.3389951666224254,valence,0.33484687194358875,surprise_valence,0.33474533247906724,0.00414829467883665,0.5694923400878906,0.14594001590413597,0.29576533967718444,0.12752343160511953,True
