local_pc,attr,count,mean_abs_rho,mean_novelty
PC1,valence,2,0.6122919066345276,0.384772904161852
PC1,hope,2,0.5403181403423284,0.32394846056225435
PC1,emotional_intensity,1,0.47688005219150226,0.27724699443518275
PC1,surprise_valence,1,0.4102178974462825,0.24515449748093482
PC1,uncertainty,1,0.36174223862255245,0.21486223735700283
PC1,gratitude,1,0.32718512164106756,0.22417567294585264
PC2,arousal,2,0.4813710456039116,0.22936069183172733
PC2,dominance,1,0.6244417463830788,0.3639865279901382
PC2,emotional_intensity,1,0.4733153563896793,0.32292473065329697
PC2,valence,1,0.4448896143587662,0.21299551267427383
PC2,injustice,1,0.41285760747346417,0.25601404475958867
PC2,blame,1,0.3662954494879495,0.20235804389346937
PC2,relief,1,0.3009113893821846,0.17727572483325263
PC3,agency,2,0.3416636166409418,0.23011423404471212
PC3,gratitude,2,0.3334814339364309,0.23620300296136387
PC3,injustice,1,0.3693676809236157,0.2930866302777028
PC3,arousal,1,0.3050120249799822,0.26121168402431816
PC3,surprise_valence,1,0.28272974282679436,0.21027432443255903
PC3,relief,1,0.19072787395442484,0.15317964703594672
