emotion,local_pc,valence,arousal,dominance,emotional_intensity,threat,social_warmth,certainty,agency,blame,injustice,relief,gratitude,loneliness,disappointment,uncertainty,hope,surprise_valence
joy,PC1,-0.644,-0.338,-0.558,-0.401,0.412,-0.556,-0.626,-0.481,0.383,0.39,-0.112,-0.462,0.343,0.488,0.539,-0.544,-0.459
joy,PC2,0.399,0.611,0.347,0.544,-0.026,0.134,0.267,0.388,-0.107,-0.092,0.048,-0.114,-0.108,-0.207,-0.061,0.363,0.512
joy,PC3,-0.322,-0.293,-0.298,-0.216,0.179,-0.102,-0.262,-0.33,-0.062,-0.066,0.004,0.043,0.155,0.256,0.198,-0.314,-0.316
trust,PC1,-0.581,-0.063,-0.508,-0.324,0.565,-0.472,-0.574,-0.482,0.374,0.413,-0.363,-0.57,0.251,0.382,0.574,-0.462,-0.374
trust,PC2,-0.242,-0.048,-0.273,0.139,0.032,-0.1,-0.306,-0.303,0.366,0.355,-0.116,0.026,0.222,0.229,0.12,-0.355,-0.091
trust,PC3,-0.367,0.008,-0.349,-0.249,0.187,-0.387,-0.325,-0.354,0.17,0.118,-0.252,-0.435,-0.005,0.084,0.329,-0.304,-0.344
fear,PC1,-0.097,0.106,-0.119,0.176,0.186,0.008,-0.191,-0.159,0.078,0.061,-0.009,-0.134,0.141,0.211,0.362,0.013,-0.03
fear,PC2,0.603,-0.574,0.624,-0.502,-0.498,0.479,0.567,0.606,-0.184,-0.228,0.242,0.256,-0.225,-0.291,-0.446,0.534,0.534
fear,PC3,0.207,-0.305,0.261,-0.279,-0.193,0.137,0.227,0.161,-0.15,-0.188,0.012,0.032,-0.044,-0.063,-0.129,0.216,0.209
surprise,PC1,0.335,0.291,0.295,0.181,-0.287,0.271,0.236,0.296,-0.141,-0.076,0.163,0.281,-0.307,-0.229,-0.181,0.339,0.335
surprise,PC2,-0.269,-0.466,-0.228,-0.473,0.12,-0.182,-0.291,-0.149,-0.1,0.047,-0.154,-0.338,0.095,0.252,0.286,-0.208,-0.308
surprise,PC3,-0.228,0.033,-0.211,0.122,0.175,-0.145,-0.076,-0.14,0.175,0.213,0.015,-0.105,0.056,0.245,-0.028,-0.258,-0.283
sadness,PC1,0.366,-0.181,0.278,-0.174,-0.13,0.223,0.161,0.232,0.025,-0.122,0.091,0.161,0.062,-0.224,-0.041,0.288,0.41
sadness,PC2,0.244,-0.125,0.168,-0.212,-0.119,-0.041,0.232,0.156,-0.131,-0.23,0.301,0.187,-0.087,-0.246,-0.102,0.067,0.173
sadness,PC3,-0.291,0.235,-0.199,0.303,0.126,-0.107,-0.128,-0.158,0.214,0.369,-0.073,-0.095,-0.018,0.188,-0.082,-0.09,-0.184
disgust,PC1,0.449,-0.446,0.396,-0.477,-0.198,0.294,-0.133,0.075,-0.24,-0.257,0.102,0.188,0.084,-0.327,0.079,0.239,0.471
disgust,PC2,-0.301,0.223,-0.309,0.238,0.215,-0.379,-0.31,-0.367,0.397,0.413,-0.215,-0.245,0.06,0.377,0.217,-0.233,-0.333
disgust,PC3,-0.034,0.002,-0.075,-0.01,-0.009,-0.023,-0.088,-0.089,-0.16,-0.09,-0.191,-0.068,0.154,0.062,0.022,0.118,-0.118
anger,PC1,0.241,-0.188,0.133,-0.088,-0.143,0.313,-0.104,0.112,-0.073,-0.05,0.1,0.327,0.028,-0.12,0.169,0.118,0.111
anger,PC2,-0.445,0.44,-0.349,0.365,0.21,-0.391,-0.07,-0.085,0.399,0.437,-0.377,-0.319,-0.194,0.215,0.016,-0.372,-0.419
anger,PC3,0.091,-0.166,0.273,-0.12,-0.023,-0.002,0.143,0.353,-0.112,-0.145,0.013,0.144,0.021,-0.158,-0.159,0.001,0.122
anticipation,PC1,-0.726,-0.399,-0.734,-0.418,0.557,-0.619,-0.709,-0.719,0.292,0.274,-0.074,-0.312,0.43,0.443,0.73,-0.742,-0.513
anticipation,PC2,-0.128,-0.351,-0.056,-0.278,0.009,-0.019,-0.141,-0.012,-0.002,-0.049,0.239,-0.001,0.125,0.198,0.113,-0.085,0.004
anticipation,PC3,-0.116,0.123,-0.059,0.079,0.141,-0.095,-0.114,-0.07,0.176,0.129,0.102,0.232,0.041,0.091,0.115,-0.166,-0.168
