emotion,local_pc,valence,arousal,dominance,emotional_intensity,threat,social_warmth,certainty,agency,blame,injustice,relief,gratitude,loneliness,disappointment,uncertainty,hope,surprise_valence
joy,PC1,-0.6440360644725285,-0.33762349420806864,-0.5575751202189438,-0.4014046503878885,0.41176996755359035,-0.5558942693298806,-0.6255064460914331,-0.4812020977976937,0.3825105708926661,0.3901132751292236,-0.11230683963497351,-0.4619427269046647,0.34259055541445466,0.487972523038466,0.5390090932268959,-0.5439021752668435,-0.45900450698748846
joy,PC2,0.3994144564053187,0.6112614618179764,0.34704272996779445,0.5437014858195823,-0.025636249261189008,0.1337406261510405,0.2673589868282857,0.3876027594099025,-0.1069388467164069,-0.09175744175737051,0.047708779127146925,-0.1136657264036544,-0.10802538033372965,-0.20675313737757434,-0.060541230087077555,0.3629223021729929,0.5121058476911693
joy,PC3,-0.3222087722389558,-0.29319527870931533,-0.29753804643458737,-0.2160393319105975,0.17889291573983965,-0.10195981643393498,-0.26186995010354047,-0.33034238458958703,-0.06189301318018518,-0.06579098044965094,0.004158420270097497,0.042842967400755785,0.15496234123699174,0.2557582358027122,0.19835678482959754,-0.3137400445928595,-0.3160263490628144
trust,PC1,-0.5805477487965268,-0.06251394949253865,-0.5078644930841131,-0.3242806071633827,0.5645490585875338,-0.4719306448098872,-0.5742686139374844,-0.4823713064020658,0.3738382290789266,0.4125776628987245,-0.36318265557051016,-0.5703060217018086,0.2513958489285533,0.3824652576610016,0.5741970946221194,-0.461976297020343,-0.37401349031198095
trust,PC2,-0.24162838806448492,-0.04760434493748267,-0.273253600060459,0.13904713333712432,0.03151814541612414,-0.09981715885500288,-0.30582705042523406,-0.30315669952830554,0.3662954494879495,0.35485318202837957,-0.11613532410322774,0.025876076192737716,0.22212493365120778,0.22940531641347406,0.11996576683079367,-0.3545264901720337,-0.09068940974975984
trust,PC3,-0.3674149505652274,0.008154866173667442,-0.3493799269124579,-0.2492259360935282,0.18721461817155743,-0.3869957188151743,-0.3253778373443294,-0.3544447420625555,0.1697188159879922,0.11812109686309091,-0.25164658780420157,-0.43500132658172325,-0.004934993438008064,0.08424716282296321,0.3291612748018031,-0.30406655619295564,-0.34426218166207406
fear,PC1,-0.0968720474159218,0.10604897400729556,-0.11861353719368631,0.17628638455269022,0.18627244893612388,0.0075536832983395235,-0.1905893951549473,-0.15895801198191942,0.07827730230060041,0.061133763374120485,-0.00869277288482148,-0.13393890195187202,0.14149593463931961,0.21145576428531315,0.36174223862255245,0.013079868474669226,-0.029894065480875604
fear,PC2,0.6027212036206243,-0.5743493498806335,0.6244417463830788,-0.5021274206646754,-0.4980949519190889,0.47865975266479327,0.566739775304776,0.6055929928918711,-0.18409824382740447,-0.22754540552881697,0.24248154058807647,0.25564423647671997,-0.22493697468793666,-0.291068251939862,-0.44638866389527593,0.5335806079489207,0.5343658601340566
fear,PC3,0.20699738570224507,-0.3050120249799822,0.2609252957932107,-0.27886834235362284,-0.19309888710232825,0.13708575105005924,0.22702164989957507,0.1607494127825856,-0.15018217564064512,-0.18811306310436685,0.012163774704170573,0.03179068742222586,-0.043920278203736944,-0.0630653557697161,-0.12926202407487059,0.21615260276559375,0.2094742221011049
surprise,PC1,0.33484687194358875,0.2907389155132005,0.2948206563320547,0.18056221679727386,-0.28707815505020745,0.27110385739333653,0.23634800327077707,0.29610924783699527,-0.1406178494796948,-0.07622379794436424,0.1633400193194569,0.2813379665417834,-0.3072193041239492,-0.22934186337435503,-0.18090426869331652,0.3389951666224254,0.33474533247906724
surprise,PC2,-0.2690669948548524,-0.46637588570657595,-0.22762045612914136,-0.4733153563896793,0.12017439088484566,-0.18174815689944182,-0.29069336522249306,-0.14931435753514477,-0.09961111185571138,0.04667056204204667,-0.15428101966642038,-0.3378725993714281,0.09509329995782764,0.2521383704587835,0.28628138626011346,-0.2078747156121943,-0.307926303057537
surprise,PC3,-0.22822694336523885,0.03285629362947312,-0.21054189868965223,0.12211979752831498,0.17450540272439558,-0.14542740117006042,-0.0764021912183032,-0.13987833006444148,0.17476836504871288,0.21307624602458106,0.01495545850648361,-0.10482146272330535,0.05634796631234855,0.2446878047287508,-0.02830608743150662,-0.2581579698270831,-0.28272974282679436
sadness,PC1,0.36635651022252996,-0.18131725989282305,0.27797142845670614,-0.1741710256999264,-0.12985433320730325,0.22322795573230483,0.16125587326245205,0.23234111646707592,0.025455365325676254,-0.12197894945181124,0.09096628037525313,0.16060361477628368,0.06219266151842972,-0.22403145333339192,-0.04072247354250622,0.2882876313573067,0.4102178974462825
sadness,PC2,0.24426659331987916,-0.12495224197590035,0.1678272190489852,-0.21203705520037916,-0.11855226900118794,-0.041459564289490304,0.23227081207835465,0.15597278078690663,-0.13057970221042542,-0.2304580756385938,0.3009113893821846,0.18662894846213382,-0.08708416714627804,-0.24601663492138082,-0.10239314780388649,0.06653427690302455,0.17317715078141224
sadness,PC3,-0.2911167311917215,0.23538755616017662,-0.19869132434254094,0.30275713982075114,0.12632091511785365,-0.10670889590449557,-0.1276633053212168,-0.15814140686622638,0.2143708173181824,0.3693676809236157,-0.07293015464825596,-0.09450699147363645,-0.01813792171837796,0.1875161397004863,-0.08245117099521974,-0.09021242297548877,-0.18419991455616905
disgust,PC1,0.4486621547024244,-0.44575939189743696,0.39643135107197003,-0.47688005219150226,-0.1984355607499123,0.293569970861095,-0.13325319311791659,0.0746598392037983,-0.23963377231782867,-0.2567989089776807,0.10150068034945994,0.18780122792982448,0.08383931728840878,-0.32719365405716827,0.07880264667288861,0.23916292109345721,0.47090908277136584
disgust,PC2,-0.30095385293136906,0.22327457633523215,-0.30869904701059314,0.23778335342909174,0.21473482174939404,-0.37888675386717086,-0.30985874734246166,-0.36687751665960294,0.3972105223811516,0.41285760747346417,-0.2154577188791495,-0.2449776904414283,0.05970575187680882,0.3774454695178308,0.21671838148495523,-0.23300451961394752,-0.33328569286818044
disgust,PC3,-0.034368634298250454,0.0019477535629261603,-0.07450386835865865,-0.009760433584147372,-0.009300597805701274,-0.022601455169276915,-0.08816538777706302,-0.08948982981428154,-0.16025934575859044,-0.08956326630819696,-0.19072787395442484,-0.06822359356629938,0.1540617110196428,0.06243509644205893,0.022349376090018948,0.11806935304059898,-0.11778111012981902
anger,PC1,0.24058280820847508,-0.1884485269752719,0.13267799926583587,-0.08768035089388672,-0.14331167061521818,0.3125453179157815,-0.10437264060110628,0.11212212714871447,-0.07288968221795548,-0.050351177906829074,0.10009780802159704,0.32718512164106756,0.027988692878619527,-0.12044455891666857,0.1690586474268734,0.11758305701324268,0.11124110576304999
anger,PC2,-0.4448896143587662,0.44022519524357895,-0.3493537262399679,0.3654746842701137,0.21002207364220504,-0.391388462617107,-0.0703596420521095,-0.08522342203656359,0.39860265904604303,0.4365710208316064,-0.376767289608066,-0.31859160645112916,-0.19360146414174506,0.2150739034479295,0.016083982691260285,-0.3724792003524737,-0.4186833349480442
anger,PC3,0.09107774142509342,-0.16573632602805907,0.2729269128582077,-0.12025947158784885,-0.023008106961019268,-0.0015958754846772968,0.14291971888125013,0.3529848486922965,-0.1116990861185921,-0.1454759598517766,0.013219197838310492,0.14410490432681516,0.021498717179404922,-0.15838157072330183,-0.15889719660922982,0.0006954728336922311,0.12163498738930953
anticipation,PC1,-0.7264189519728449,-0.39867031567062244,-0.7344548886261887,-0.4175480982242334,0.5572957422832167,-0.6187280324379923,-0.708717064891194,-0.718985810592425,0.292220031964489,0.27403425266320364,-0.07404665152215283,-0.31170050693687656,0.4301617202311519,0.44273958315770745,0.7298784111007994,-0.7416411140622314,-0.5131487463185737
anticipation,PC2,-0.12817028675089776,-0.3514806293898468,-0.056399151031502864,-0.27805351670408046,0.008731160315088535,-0.01894221913884285,-0.14122701555838352,-0.01221368754247565,-0.0017985994975853693,-0.049267886369257954,0.23896873900331136,-0.0013480590683330512,0.12531740238976813,0.19785206704310912,0.11330426081597564,-0.08460253174712197,0.0038598962801799697
anticipation,PC3,-0.11620560303138143,0.12290194528784303,-0.05852842754533412,0.07934378904628163,0.1406771889646489,-0.09488843934505868,-0.11355944004290178,-0.07013486298031525,0.17606193625635425,0.12874459438407979,0.10200594448911543,0.2319615412911386,0.040885271023700084,0.0905514550301242,0.11533369206814056,-0.16641156087500167,-0.1675175216603074
