emotion,local_pc,attr,n,rho_raw,rho_partial_intensity_and_judgeEI,abs_drop_ratio_vs_raw,sign_stable
anger,PC1,valence,107,0.24058280820847508,0.2690485427851558,-0.11831990319114549,True
anger,PC1,arousal,107,-0.1884485269752719,-0.22701670745160377,-0.20466161819026987,True
anger,PC1,dominance,107,0.13267799926583587,0.08155519150766989,0.3853148829576143,True
anger,PC1,emotional_intensity,107,-0.08768035089388672,,,False
anger,PC1,threat,107,-0.14331167061521818,-0.10312244278640474,0.280432344806856,True
anger,PC1,social_warmth,107,0.3125453179157815,0.32474268957848484,-0.03902592988447856,True
anger,PC1,certainty,107,-0.10437264060110628,-0.14288850104383283,-0.369022573549014,True
anger,PC1,agency,107,0.11212212714871447,0.039836455912826696,0.6447047792806396,True
anger,PC1,blame,107,-0.07288968221795548,-0.047439236790464315,0.3491638960832479,True
anger,PC1,injustice,107,-0.050351177906829074,-0.001394448275431632,0.9723055480844569,True
anger,PC1,relief,107,0.10009780802159704,-0.012726162935409327,0.872862721103108,False
anger,PC1,gratitude,107,0.32718512164106756,0.2736700860515754,0.1635619471969751,True
anger,PC1,loneliness,107,0.027988692878619527,0.02665798627334388,0.04754443557070038,True
anger,PC1,disappointment,107,-0.12044455891666857,-0.03369098060598185,0.7202781021491268,True
anger,PC1,uncertainty,107,0.1690586474268734,0.1978725598575959,-0.17043737702436065,True
anger,PC1,hope,107,0.11758305701324268,0.048399873131475056,0.5883771492178157,True
anger,PC1,surprise_valence,107,0.11124110576304999,0.05520012472085388,0.5037794316928731,True
anger,PC2,valence,107,-0.4448896143587662,-0.271785224312905,0.38909514733303485,True
anger,PC2,arousal,107,0.44022519524357895,0.2875876314478012,0.3467260971088276,True
anger,PC2,dominance,107,-0.3493537262399679,-0.1905050855235015,0.4546928479227232,True
anger,PC2,emotional_intensity,107,0.3654746842701137,,,False
anger,PC2,threat,107,0.21002207364220504,0.0189669589661376,0.9096906404302539,True
anger,PC2,social_warmth,107,-0.391388462617107,-0.2419334562482314,0.3818584875228848,True
anger,PC2,certainty,107,-0.0703596420521095,0.019042124124532784,0.7293601336057128,False
anger,PC2,agency,107,-0.08522342203656359,0.049845159259900795,0.4151237057986757,False
anger,PC2,blame,107,0.39860265904604303,0.2483286622564314,0.3770019927846324,True
