axis,top_attr,top_rho,mean_abs_rho_on_predicted_attrs,mean_abs_rho_all_attrs
v_intensity,arousal,0.7617016367073567,0.745923307771491,0.3506763005516037
v_anger,social_warmth,-0.6503277862033859,,0.40895261404815575
PC1,valence,-0.6332861240492053,0.45049396392853175,0.45049396392853175
v_joy_minus_sadness,valence,0.608507962818419,,0.4468705016716802
PC2,social_warmth,0.6000860129534161,0.3532408432890779,0.3532408432890779
v_joy,valence,0.5978369870073373,,0.4294921296284985
v_sadness,certainty,-0.5354840822786607,,0.44513094255377333
v_trust,agency,0.4981725529653025,,0.40661548125576075
v_fear,certainty,-0.49170781070332814,,0.3542566454185508
PC3,emotional_intensity,0.342374088543642,0.18542394394658893,0.18542394394658893
PC4,emotional_intensity,-0.2873514342242773,0.129816767350586,0.129816767350586
v_fear_minus_anger,arousal,-0.22385281806735896,,0.142288914197977
