condition,emotion,target_emotion_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,label_free_nuance
A,joy,0.8833,0.7067,0.4833,0.46,0.66,0.64
A,trust,0.9667,0.9267,0.9033,0.7867,0.5533,0.4867
A,fear,0.96,0.8667,0.5833,0.6067,0.7133,0.6733
A,surprise,0.9467,0.93,0.92,0.7533,0.7867,0.7333
A,sadness,0.95,0.86,0.8933,0.6733,0.8333,0.8067
A,disgust,0.88,0.9367,0.8767,0.6933,0.5967,0.5267
A,anger,0.9633,0.91,0.95,0.8367,0.8333,0.8433
A,anticipation,0.94,0.9133,0.9533,0.78,0.72,0.7133
B,joy,0.9567,0.86,0.74,0.6433,0.7333,0.72
B,trust,0.9733,0.93,0.9567,0.8533,0.4667,0.3867
B,fear,0.96,0.8733,0.94,0.7533,0.7933,0.76
B,surprise,0.81,0.9033,0.74,0.54,0.7667,0.74
B,sadness,0.96,0.9167,0.9233,0.74,0.84,0.8267
B,disgust,0.95,0.9433,0.9267,0.7467,0.64,0.58
B,anger,0.9467,0.9167,0.9533,0.84,0.7933,0.8067
B,anticipation,0.95,0.8733,0.95,0.76,0.7467,0.7533
C,joy,0.8867,0.7067,0.4533,0.41,0.64,0.62
C,trust,0.9733,0.9267,0.9367,0.8467,0.56,0.48
C,fear,0.9533,0.8067,0.3933,0.5167,0.68,0.6333
C,surprise,0.95,0.9367,0.8833,0.72,0.7267,0.64
C,sadness,0.96,0.9167,0.91,0.7133,0.8467,0.8133
C,disgust,0.88,0.9367,0.8733,0.6933,0.5433,0.4867
C,anger,0.9667,0.91,0.9433,0.82,0.8,0.8167
C,anticipation,0.91,0.89,0.9533,0.7967,0.6933,0.7067
