alpha_r,sn_mean,sn_ci,mp_mean,mp_ci,ti_mean,ti_ci,n
-128.0,0.359125,0.02891908713063634,0.145,0.01769184704361781,0.010125,0.003959045025715741,800
-112.0,0.528625,0.03087320609828584,0.22,0.02021585642667235,0.01525,0.004825193051576406,800
-96.0,0.71175,0.025284033040309833,0.34137500000000004,0.02208836222767832,0.046875,0.008546039958218034,800
-80.0,0.865,0.014565488038588094,0.51175,0.022181907495754005,0.114375,0.01271603352482627,800
-64.0,0.92525,0.00910372297964479,0.655,0.019535500882839663,0.1745,0.015250779729343059,800
-48.0,0.96075,0.0047076768848408725,0.7808750000000001,0.015210844180867093,0.2335,0.017062773171010525,800
-32.0,0.975375,0.003256838338589225,0.8548749999999999,0.012114885080734328,0.27649999999999997,0.018167527881819,800
-16.0,0.983,0.0026729577023586145,0.8795000000000001,0.011965840387127547,0.31175,0.019441372960859887,800
0.0,0.985,0.0025000826018894526,0.9122499999999999,0.010319744244727955,0.339375,0.01998708717612405,800
16.0,0.9795,0.0029046265800377544,0.90575,0.010271175940173183,0.380375,0.019630928312276835,800
32.0,0.9782500000000001,0.0031024724889079243,0.906125,0.010113868591746377,0.440375,0.019329194549208496,800
48.0,0.9678749999999999,0.005038712310296393,0.87825,0.011859325798100069,0.487125,0.01809778939387159,800
64.0,0.948875,0.007313209025562202,0.817625,0.01566709453065694,0.549125,0.018371679883612504,800
80.0,0.859375,0.014930153585155962,0.6766249999999999,0.021480363468460474,0.58125,0.018666896183924815,800
96.0,0.685625,0.024180202427927882,0.483375,0.024319511621857397,0.526,0.021905127053707056,800
112.0,0.494625,0.027455730980495523,0.288125,0.021413711770346573,0.43162500000000004,0.0227490989183252,800
128.0,0.34712499999999996,0.027101734048844882,0.14625,0.016693614582671826,0.319875,0.022341788297922494,800
