axis_id,stability,beta,sn_mean,sn_ci,mp_mean,mp_ci,pm_mean,pm_ci,sa_mean,sa_ci,n
m1,stable,-16.0,0.008333333333333333,0.016333333333333335,0.3541666666666667,0.15015199625937822,0.0,0.0,0.0,0.0,24
m1,stable,-12.0,0.37916666666666665,0.14205428216750668,0.875,0.08848360201804037,0.11666666666666665,0.08722938830219366,0.14583333333333334,0.10616666666666667,24
m1,stable,-8.0,0.9125,0.05696340676385962,1.0,0.0,0.46249999999999997,0.07897708803686426,0.5291666666666667,0.07318369944690074,24
m1,stable,-4.0,0.9916666666666667,0.01129554655519937,1.0,0.0,0.5499999999999999,0.11797813602405381,0.5958333333333333,0.12231048141812827,24
m1,stable,0.0,0.9958333333333332,0.008166666666666664,1.0,0.0,0.1875,0.09892767450318792,0.2708333333333333,0.15583798334533241,24
m1,stable,4.0,1.0,0.0,1.0,0.0,0.9166666666666666,0.07615455933962563,0.9375,0.06758046733500288,24
m1,stable,8.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.09632874468786613,0.9166666666666666,0.07615455933962563,24
m1,stable,12.0,0.9833333333333334,0.019265748937573223,1.0,0.0,0.6375000000000001,0.13545025558901852,0.6958333333333333,0.1413175023605709,24
m1,stable,16.0,0.7916666666666666,0.13905246985214134,0.3875,0.1512296099563053,0.09166666666666667,0.07638268134637483,0.08750000000000001,0.07583021175292044,24
m2,stable,-16.0,0.6625,0.17962631299127807,0.08333333333333333,0.07615455933962563,0.10416666666666667,0.10181668072290488,0.0625,0.06758046733500288,24
m2,stable,-12.0,0.9541666666666666,0.08171991017987455,0.7291666666666666,0.14424204278993197,0.6458333333333334,0.15015199625937822,0.4791666666666667,0.13807936788582426,24
m2,stable,-8.0,1.0,0.0,0.9583333333333334,0.05647773277599685,0.5041666666666667,0.14278726025392202,0.5833333333333334,0.13741625469041172,24
m2,stable,-4.0,1.0,0.0,1.0,0.0,0.42083333333333334,0.13908374688418124,0.5375,0.1395001038906683,24
m2,stable,0.0,0.9958333333333332,0.008166666666666664,1.0,0.0,0.20833333333333334,0.10074301260818032,0.22916666666666666,0.10181668072290491,24
m2,stable,4.0,1.0,0.0,1.0,0.0,0.9708333333333333,0.043314474714658185,0.9708333333333333,0.043314474714658185,24
m2,stable,8.0,0.9583333333333334,0.026159950213428963,1.0,0.0,0.9166666666666666,0.06092364747170051,0.9125,0.060517724077630626,24
m2,stable,12.0,0.7916666666666666,0.040726672289161964,1.0,0.0,0.6916666666666668,0.07818369920422058,0.7416666666666667,0.07546605597130895,24
m2,stable,16.0,0.3541666666666667,0.12428601403627103,0.6958333333333333,0.10843671210158011,0.29583333333333334,0.12456567540025908,0.31666666666666665,0.13119819428473428,24
m3,stable,-16.0,0.4791666666666667,0.10939516963786207,0.7666666666666666,0.139925584087134,0.39166666666666666,0.1375428084437328,0.37916666666666665,0.12976477697355,24
m3,stable,-12.0,0.875,0.03588164926007705,1.0,0.0,0.49583333333333335,0.08214461590819762,0.5583333333333333,0.0882210388219344,24
m3,stable,-8.0,0.9625,0.025881348552549394,1.0,0.0,0.29583333333333334,0.10649392148855101,0.45,0.15959786421149116,24
m3,stable,-4.0,0.9916666666666667,0.01129554655519937,1.0,0.0,0.31666666666666665,0.12851857513445042,0.43333333333333335,0.16502888050570477,24
m3,stable,0.0,0.9958333333333332,0.008166666666666664,1.0,0.0,0.2708333333333333,0.10181668072290488,0.3958333333333333,0.15583798334533241,24
m3,stable,4.0,1.0,0.0,0.9791666666666666,0.04083333333333333,0.85,0.10486126099742941,0.8791666666666668,0.09939555851817575,24
m3,stable,8.0,1.0,0.0,0.7541666666666668,0.11437137048437179,0.24166666666666667,0.13026659768885482,0.25833333333333336,0.14300033782602575,24
m3,stable,12.0,0.9500000000000001,0.08258469521683769,0.1875,0.1151798373307422,0.0,0.0,0.0,0.0,24
m3,stable,16.0,0.9583333333333334,0.08166666666666667,0.9583333333333334,0.08166666666666667,0.4375,0.06758046733500288,0.4375,0.06758046733500288,24
m4,low-stability,-16.0,0.8958333333333334,0.11283988378220121,0.22916666666666666,0.10181668072290491,0.0,0.0,0.0,0.0,24
m4,low-stability,-12.0,0.9916666666666667,0.01129554655519937,0.6583333333333333,0.13804786329525884,0.19999999999999998,0.10812874773600462,0.19166666666666665,0.11554431151166775,24
m4,low-stability,-8.0,1.0,0.0,0.9916666666666667,0.016333333333333328,0.6749999999999999,0.10634405470459782,0.7083333333333334,0.10998996440826499,24
m4,low-stability,-4.0,1.0,0.0,1.0,0.0,0.8041666666666667,0.08627676368345547,0.8458333333333333,0.08340575838274576,24
m4,low-stability,0.0,0.9958333333333332,0.008166666666666664,1.0,0.0,0.0,0.0,0.3333333333333333,0.09632874468786615,24
m4,low-stability,4.0,0.9958333333333332,0.008166666666666664,1.0,0.0,0.041666666666666664,0.05647773277599685,0.4375,0.08970412315019266,24
m4,low-stability,8.0,1.0,0.0,0.9708333333333333,0.043314474714658185,0.041666666666666664,0.05647773277599685,0.4166666666666667,0.07615455933962563,24
m4,low-stability,12.0,0.6666666666666666,0.11778134166515698,0.6708333333333334,0.14945514167127433,0.13749999999999998,0.09200214632026926,0.19999999999999998,0.09800000000000002,24
m4,low-stability,16.0,0.0,0.0,0.020833333333333332,0.04083333333333333,0.16666666666666666,0.15230911867925126,0.0,0.0,24
