pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.10739054473678963,0.10739054473678963,0.42164515690651677,13,anger
2,0.049258508180055234,0.15664905291684486,0.19340260785030844,13,anger
3,0.033798779579777664,0.19044783249662253,0.1327034121494871,13,anger
4,0.02578935613554158,0.21623718863216412,0.10125618732021659,13,anger
5,0.023279820379427555,0.23951700901159168,0.0914030517369801,13,anger
6,0.01973811634965203,0.25925512536124373,0.0774973363407944,13,anger
7,0.01780542799636187,0.2770605533576056,0.06990906415191839,13,anger
8,0.017068274169360458,0.29412882752696606,0.06701479313567527,13,anger
9,0.015710207939467986,0.30983903546643404,0.061682647275013804,13,anger
10,0.013563394853984409,0.32340243032041843,0.053253661813618826,13,anger
11,0.012895293799466908,0.33629772411988534,0.05063051119405654,13,anger
12,0.010868569103948247,0.3471662932238336,0.042673026162736785,13,anger
13,0.010731369663876616,0.3578976628877102,0.042134342989294686,13,anger
14,0.010133673333181733,0.3680313362208919,0.03978762090350981,13,anger
15,0.009822134242625182,0.3778534704635171,0.03856443175736862,13,anger
16,0.008745530686564397,0.3865990011500815,0.034337386662905554,13,anger
17,0.008466563232672064,0.3950655643827536,0.03324208282441084,13,anger
18,0.008170784420338036,0.4032363488030916,0.03208077291540653,13,anger
19,0.007508657497059675,0.4107450063001513,0.029481078397215935,13,anger
20,0.0071618484584865935,0.4179068547586379,0.028119409622333093,13,anger
21,0.006842420404947927,0.42474927516358585,0.026865246212651513,13,anger
22,0.006700234092296965,0.4314495092558828,0.026306983190011908,13,anger
23,0.006150361991365385,0.4375998712472482,0.02414803233596726,13,anger
24,0.005851238070484897,0.44345110931773307,0.02297358860013119,13,anger
25,0.00561722464309177,0.44906833396082485,0.022054786776811965,13,anger
26,0.005411831798990944,0.4544801657598158,0.021248357326336332,13,anger
27,0.005319575162356992,0.4597997409221728,0.02088613210320769,13,anger
28,0.0051863941952413565,0.46498613511741416,0.02036322657261309,13,anger
29,0.005084550323472503,0.47007068544088665,0.01996335919697779,13,anger
30,0.005034649510524522,0.47510533495141116,0.01976743472190614,13,anger
31,0.004769546179151575,0.47987488113056276,0.018726565285708062,13,anger
32,0.004564467740833334,0.4844393488713961,0.017921370279809043,13,anger
33,0.004458492098586588,0.4888978409699827,0.017505280423733564,13,anger
34,0.004352573346742005,0.4932504143167247,0.017089413935205064,13,anger
35,0.0040729184169804615,0.49732333273370516,0.015991410875177827,13,anger
36,0.003965455191511771,0.5012887879252169,0.015569480353496586,13,anger
37,0.003795577331830743,0.5050843652570477,0.014902492612856024,13,anger
38,0.0037245817059899642,0.5088089469630377,0.01462374403335416,13,anger
39,0.003637209399274201,0.5124461563623119,0.014280696048405895,13,anger
40,0.003575981489452008,0.516022137851764,0.014040298239573545,13,anger
41,0.003544736345944079,0.5195668741977081,0.013917621113116488,13,anger
42,0.0033462620966023273,0.5229131362943105,0.013138355990561084,13,anger
43,0.0032647779810771453,0.5261779142753876,0.012818426682443568,13,anger
44,0.0032196825086351307,0.5293975967840228,0.012641369311143423,13,anger
45,0.0031972324984130608,0.5325948292824358,0.01255322432495457,13,anger
46,0.003167155888365098,0.535761985170801,0.01243513518597151,13,anger
47,0.003040661400126001,0.538802646570927,0.011938482631762871,13,anger
48,0.003009059363878416,0.5418117059348054,0.011814404245114984,13,anger
49,0.0028169792369000094,0.5446286851717055,0.011060244225935116,13,anger
50,0.0028005356113350046,0.5474292207830405,0.010995681977010298,13,anger
