pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.10765981541436997,0.10765981541436997,0.43107782294681607,13,anticipation
2,0.06095758790161473,0.1686174033159847,0.24407866745431786,13,anticipation
3,0.03412564787761508,0.20274305119359978,0.13664160519978383,13,anticipation
4,0.03191473383761548,0.23465778503121526,0.1277889426959768,13,anticipation
5,0.0268765743939978,0.2615343594252131,0.10761578155637705,13,anticipation
6,0.01945813817018531,0.2809924975953984,0.07791181703885994,13,anticipation
7,0.018313238094407047,0.29930573568980545,0.07332755288924611,13,anticipation
8,0.017787075434862146,0.3170928111246676,0.0712207588833347,13,anticipation
9,0.01527944558184254,0.3323722567065101,0.06118002443069278,13,anticipation
10,0.014961959094061204,0.34733421580057133,0.0599087851717265,13,anticipation
11,0.01185696043896203,0.35919117623953334,0.04747614207883962,13,anticipation
12,0.011772168703320433,0.37096334494285377,0.04713662973002518,13,anticipation
13,0.011226455682246691,0.38218980062510044,0.04495155463796071,13,anticipation
14,0.010746872292618394,0.39293667291771883,0.04303126745627912,13,anticipation
15,0.009807076985004343,0.40274374990272316,0.03926825789080086,13,anticipation
16,0.009252872061274158,0.41199662196399733,0.03704918059563278,13,anticipation
17,0.008508833926116285,0.4205054558901136,0.03406999715324268,13,anticipation
18,0.008142156718461295,0.4286476126085749,0.03260179463225794,13,anticipation
19,0.007607666141871312,0.43625527875044623,0.03046165503369752,13,anticipation
20,0.007060015236129005,0.4433152939865752,0.028268820508823022,13,anticipation
21,0.00671129563990675,0.45002658962648195,0.026872521585405797,13,anticipation
22,0.00648729002601154,0.4565138796524935,0.02597558662416562,13,anticipation
23,0.006284748252510727,0.46279862790500426,0.02516459445925742,13,anticipation
24,0.006049975736715683,0.46884860364171993,0.02422454803053982,13,anticipation
25,0.0056336219672140295,0.47448222560893394,0.02255743690052652,13,anticipation
26,0.005421933348321902,0.47990415895725586,0.021709820093611058,13,anticipation
27,0.005202718165309323,0.48510687712256517,0.02083206637012346,13,anticipation
28,0.005038923029466925,0.4901458001520321,0.020176218593527754,13,anticipation
29,0.004842156805280246,0.49498795695731235,0.01938835215306071,13,anticipation
30,0.004651212295636419,0.49963916925294877,0.01862379628600763,13,anticipation
31,0.00452201440625136,0.5041611836592002,0.018106478430026975,13,anticipation
32,0.004321607323866804,0.5084827909830669,0.01730403372542713,13,anticipation
33,0.004242228693246418,0.5127250196763133,0.01698619584743493,13,anticipation
34,0.004132852388309358,0.5168578720646227,0.016548245074133293,13,anticipation
35,0.004058191918872585,0.5209160639834953,0.016249299060700915,13,anticipation
36,0.0038376773301963332,0.5247537413136917,0.015366342421320655,13,anticipation
37,0.003755078462207113,0.5285088197758988,0.01503561047594606,13,anticipation
38,0.0036786812106501996,0.532187500986549,0.014729710259105463,13,anticipation
39,0.0035898057042822724,0.5357773066908312,0.014373846191803074,13,anticipation
40,0.0035182893795863697,0.5392955960704175,0.014087489565271534,13,anticipation
41,0.0034166608627020784,0.5427122569331196,0.013680561505445542,13,anticipation
42,0.0033527784678179053,0.5460650354009375,0.013424771695614394,13,anticipation
43,0.0032175337374959743,0.5492825691384335,0.012883241843572446,13,anticipation
44,0.00309761283748582,0.5523801819759193,0.012403069735685847,13,anticipation
45,0.0030794192190284754,0.5554596011949477,0.012330221148625477,13,anticipation
46,0.003004784909721088,0.5584643861046689,0.012031379882276124,13,anticipation
47,0.002955333706918745,0.5614197198115876,0.01183337362744383,13,anticipation
48,0.0028341154784186145,0.5642538352900062,0.011348006920820894,13,anticipation
49,0.00281406727205162,0.5670679025620577,0.011267732427302498,13,anticipation
50,0.0027950113529136887,0.5698629139149715,0.011191431124865625,13,anticipation
