pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.13008020635518866,0.13008020635518866,0.5019166522982994,13,disgust
2,0.04481148654289061,0.17489169289807927,0.1729058704650556,13,disgust
3,0.03195679189982705,0.20684848479790632,0.12330581614206376,13,disgust
4,0.026323300564832983,0.2331717853627393,0.10156889558482698,13,disgust
5,0.024979022236713156,0.25815080759945247,0.09638197516770586,13,disgust
6,0.019134424787897696,0.27728523238735014,0.07383049813875182,13,disgust
7,0.016358788036068227,0.29364402042341836,0.06312065729893675,13,disgust
8,0.014587353734534443,0.3082313741579528,0.0562855484126204,13,disgust
9,0.013085120370481334,0.32131649452843414,0.05048915584696336,13,disgust
10,0.011919477728700582,0.3332359722571347,0.045991504213929925,13,disgust
11,0.011505966760345843,0.3447419390174805,0.04439596522501934,13,disgust
12,0.011326782464082363,0.3560687214815629,0.04370457962036078,13,disgust
13,0.010568306099921761,0.36663702758148464,0.04077798588089989,13,disgust
14,0.00975461654821535,0.3763916441297,0.03763835113364693,13,disgust
15,0.009055991674151453,0.38544763580385144,0.03494269536996367,13,disgust
16,0.008780177757030164,0.3942278135608816,0.0338784627567343,13,disgust
17,0.008268664928670575,0.40249647848955217,0.03190478195154822,13,disgust
18,0.007867555297476759,0.4103640337870289,0.030357093729531687,13,disgust
19,0.007297503967442635,0.4176615377544715,0.028157541136359564,13,disgust
20,0.006955085858005345,0.4246166236124769,0.02683631513287528,13,disgust
21,0.006607585247276579,0.43122420885975343,0.02549547821313403,13,disgust
22,0.006181338109110504,0.4374055469688639,0.023850796499946442,13,disgust
23,0.005966148819803772,0.4433716957886677,0.023020485027312642,13,disgust
24,0.005776318400472162,0.44914801418913985,0.02228802117869957,13,disgust
25,0.005497897503761044,0.4546459116929009,0.021213729491111385,13,disgust
26,0.005380970463428419,0.4600268821563293,0.020762564549946926,13,disgust
27,0.005174076415397789,0.4652009585717271,0.019964260404545825,13,disgust
28,0.005007657311501688,0.4702086158832288,0.019322129508182267,13,disgust
29,0.004879026741392745,0.47508764262462155,0.018825806301590683,13,disgust
30,0.0046603782948794895,0.47974802091950103,0.017982147613008204,13,disgust
31,0.0045867261511782,0.48433474707067925,0.017697959584429865,13,disgust
32,0.00449456262334205,0.4888293096940213,0.0173423450704952,13,disgust
33,0.004353911927730533,0.4931832216217518,0.016799642008570485,13,disgust
34,0.004121906846273181,0.497305128468025,0.01590444652061665,13,disgust
35,0.004107380180152456,0.5014125086481774,0.01584839513637714,13,disgust
36,0.003964997323753238,0.5053775059719307,0.01529900850307623,13,disgust
37,0.003810453430233576,0.5091879594021642,0.014702698304607362,13,disgust
38,0.0037671550210713655,0.5129551144232356,0.014535630668527526,13,disgust
39,0.0036382983485715994,0.5165934127718071,0.014038435042078542,13,disgust
40,0.0036015095797485566,0.5201949223515557,0.013896484962145407,13,disgust
41,0.003493440814425017,0.5236883631659808,0.013479499823291207,13,disgust
42,0.003363625554800803,0.5270519887207816,0.012978605472386594,13,disgust
43,0.003285055065676492,0.5303370437864581,0.01267543992571585,13,disgust
44,0.0032380197997165234,0.5335750635861746,0.012493953565168992,13,disgust
45,0.0030965248775340275,0.5366715884637085,0.011947993040897314,13,disgust
46,0.0030256688030385285,0.5396972572667471,0.011674593692124209,13,disgust
47,0.00300495572612092,0.542702212992868,0.01159467193833412,13,disgust
48,0.002965249102815879,0.545667462095684,0.011441463268070193,13,disgust
49,0.002899151818079817,0.5485666139137638,0.011186425789192388,13,disgust
50,0.0028068683947552013,0.551373482308519,0.010830348656509779,13,disgust
