pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.07598497897908223,0.07598497897908223,0.3045624568395728,13,surprise
2,0.058385879692938014,0.13437085867202025,0.23402187120320372,13,surprise
3,0.043591658894808594,0.17796251756682885,0.17472377974033992,13,surprise
4,0.035866209324608704,0.21382872689143756,0.14375868725886382,13,surprise
5,0.02761909206199089,0.24144781895342846,0.11070265001183906,13,surprise
6,0.02590839439922752,0.26735621335265597,0.10384584370510368,13,surprise
7,0.023377468694523302,0.29073368204717925,0.0937014051455386,13,surprise
8,0.019184552501357165,0.3099182345485364,0.07689538803175283,13,surprise
9,0.016406027216862004,0.3263242617653984,0.06575852258273195,13,surprise
10,0.013826759869354308,0.34015102163475275,0.05542032139142433,13,surprise
11,0.012803254941541345,0.3529542765762941,0.05131791615830662,13,surprise
12,0.012186943432257223,0.3651412200085513,0.04884762071349574,13,surprise
13,0.010411285098769919,0.37555250510732124,0.041730439504517186,13,surprise
14,0.0100912724584289,0.38564377756575013,0.040447767096477044,13,surprise
15,0.009287347229262312,0.39493112479501247,0.037225479662829186,13,surprise
16,0.008776260124684762,0.4037073849196972,0.03517694393483994,13,surprise
17,0.008124890462686687,0.41183227538238387,0.03256612864957799,13,surprise
18,0.007694565660890366,0.41952684104327426,0.03084130381399872,13,surprise
19,0.007273775007499112,0.42680061605077335,0.029154693684814506,13,surprise
20,0.006974664424316582,0.43377528047508995,0.027955800754859667,13,surprise
21,0.006893928878910308,0.4406692093540003,0.027632197111171264,13,surprise
22,0.0067050083630503686,0.44737421771705066,0.026874967231913915,13,surprise
23,0.006294860471387143,0.4536690781884378,0.025231015345227065,13,surprise
24,0.005966589161621093,0.4596356673500589,0.02391524059664398,13,surprise
25,0.005876338777233747,0.46551200612729265,0.023553499642457596,13,surprise
26,0.0056202365513146856,0.4711322426786073,0.02252699250675825,13,surprise
27,0.0053327084472210955,0.47646495112582843,0.021374524387799167,13,surprise
28,0.005187180001225034,0.48165213112705346,0.02079121829693604,13,surprise
29,0.0049674931937234825,0.48661962432077693,0.019910671184508278,13,surprise
30,0.004787665362710661,0.49140728968348757,0.019189886540526557,13,surprise
31,0.00452373448439002,0.4959310241678776,0.018132000655484863,13,surprise
32,0.0043990946920244335,0.5003301188599021,0.017632420318780588,13,surprise
33,0.004262790331136919,0.504592909191039,0.01708608614079421,13,surprise
34,0.004090015963556338,0.5086829251545953,0.016393573139195153,13,surprise
35,0.004016840875551394,0.5126997660301468,0.016100273267540616,13,surprise
36,0.003949068860026,0.5166488348901728,0.015828629952891995,13,surprise
37,0.003807598226130665,0.5204564331163034,0.015261588355872192,13,surprise
38,0.003737702024290668,0.5241941351405941,0.014981430892618771,13,surprise
39,0.0035409042822125217,0.5277350394228066,0.01419262757078985,13,surprise
40,0.0034886148433822995,0.5312236542661889,0.013983041410855804,13,surprise
41,0.0034080495082824034,0.5346317037744713,0.013660120002916972,13,surprise
42,0.00340500871870932,0.5380367124931806,0.013647931931596122,13,surprise
43,0.0032183044910727397,0.5412550169842534,0.012899585363164675,13,surprise
44,0.0031990996763399965,0.5444541166605934,0.012822608760199986,13,surprise
45,0.0031244430522249186,0.5475785597128183,0.012523370605957736,13,surprise
46,0.0030182807555630374,0.5505968404683813,0.012097851637215572,13,surprise
47,0.0029793317941733833,0.5535761722625547,0.011941736684871527,13,surprise
48,0.0029236255858534933,0.5564997978484082,0.011718455453566675,13,surprise
49,0.0028379852696743374,0.5593377831180826,0.011375192542258616,13,surprise
50,0.002752523109408894,0.5620903062274915,0.011032643714227405,13,surprise
