pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.1576594859971839,0.1576594859971839,0.7659527532949857,13,trust
2,0.04722081956184892,0.20488030555903283,0.22941161153404968,13,trust
3,0.03043026246968115,0.23531056802871397,0.14783850888970726,13,trust
4,0.024858317643830067,0.26016888567254404,0.12076848228411106,13,trust
5,0.021782687604702942,0.28195157327724696,0.10582623328662123,13,trust
6,0.019933012241504983,0.30188458551875197,0.09684000624051323,13,trust
7,0.018125984640745236,0.3200105701594972,0.08806097364803932,13,trust
8,0.017166129573599177,0.3371766997330964,0.0833977361219586,13,trust
9,0.015565594920882431,0.3527422946539788,0.07562190255102888,13,trust
10,0.012823292122411399,0.36556558677639023,0.0622990481374673,13,trust
11,0.011772082483874267,0.3773376692602645,0.05719198520474834,13,trust
12,0.011142956177053564,0.3884806254373181,0.054135518136929586,13,trust
13,0.0101433068115324,0.3986239322488505,0.04927894906334909,13,trust
14,0.008852640520006992,0.4074765727688575,0.04300854044615639,13,trust
15,0.008697685853290124,0.41617425862214763,0.04225572844212758,13,trust
16,0.008197327637016201,0.4243715862591638,0.039824851854114184,13,trust
17,0.007928692099673914,0.4323002783588377,0.03851974719670158,13,trust
18,0.007652625438813083,0.4399529037976508,0.037178540115872426,13,trust
19,0.007560772804775473,0.44751367660242625,0.03673229498514962,13,trust
20,0.007199443026868987,0.4547131196292952,0.03497685644312696,13,trust
21,0.006591495727587552,0.4613046153568828,0.03202328276630308,13,trust
22,0.00632595746727561,0.4676305728241584,0.030733225524871212,13,trust
23,0.006069254294917912,0.47369982711907627,0.02948609154873705,13,trust
24,0.005827456764052357,0.4795272838831286,0.028311373241525845,13,trust
25,0.005633008684234679,0.48516029256736326,0.027366691472666505,13,trust
26,0.0054307724258045986,0.49059106499316785,0.026384172609428786,13,trust
27,0.005051356072907514,0.49564242106607537,0.024540864556579656,13,trust
28,0.004893893399179357,0.5005363144652547,0.02377586797092907,13,trust
29,0.004766145203664742,0.5053024596689194,0.023155232419163833,13,trust
30,0.004527177491125762,0.5098296371600451,0.0219942621406542,13,trust
31,0.004326551181477607,0.5141561883415228,0.02101956484739294,13,trust
32,0.004222225988284154,0.5183784143298069,0.02051272462487703,13,trust
33,0.004156812952637865,0.5225352272824447,0.020194930269289996,13,trust
34,0.004078922071963221,0.526614149354408,0.01981651514170053,13,trust
35,0.003972482636119152,0.5305866319905271,0.019299403352148036,13,trust
36,0.0038423017082465662,0.5344289336987738,0.01866694892354306,13,trust
37,0.003825636709975285,0.538254570408749,0.018585985819871823,13,trust
38,0.003664294751827114,0.5419188651605762,0.017802142613204237,13,trust
39,0.0035593224482539216,0.5454781876088302,0.017292158552092686,13,trust
40,0.003531110536964774,0.5490092981457949,0.017155097397852828,13,trust
41,0.0034286724847514896,0.5524379706305464,0.01665742542056158,13,trust
42,0.003397723184900073,0.5558356938154465,0.016507065286607014,13,trust
43,0.0033723051702220287,0.5592079989856685,0.016383577643584453,13,trust
44,0.0032564869572573284,0.5624644859429259,0.01582090119858068,13,trust
45,0.003127738969903414,0.5655922249128292,0.01519540838556542,13,trust
46,0.0030467224458146074,0.5686389473586438,0.014801808030371321,13,trust
47,0.0028979205925145795,0.5715368679511584,0.014078888070879706,13,trust
48,0.002822792735462166,0.5743596606866206,0.013713896465113111,13,trust
49,0.002782555102868083,0.5771422157894887,0.013518411079146165,13,trust
50,0.002736048141192971,0.5798782639306816,0.01329246758378888,13,trust
