emotion,pc,evr,r2_all_features,r2_output_length,r2_type_token_ratio,r2_mean_word_length,r2_first_person_count,r2_social_word_count,r2_exclamation_count,r2_question_count,r2_sentence_count,r2_meaning_preserved,r2_neutral_topic_pc1,r2_neutral_topic_pc2,r2_neutral_topic_pc3,r2_neutral_topic_pc4,r2_neutral_topic_pc5
joy,1,0.2269553630692562,0.08270682987208033,0.000924564011717699,0.0008912216748017121,0.009646526432828262,0.010038836629544079,0.0014277591679676682,0.01222395942827692,0.005793035304679672,0.010907115883335261,0.0011004181557721093,0.014971527481671631,0.011391139956347995,0.00039233938920990585,0.04365661921241981,9.123506063302145e-06
joy,2,0.04671384532906063,0.18320750094133909,0.057623516598145574,0.0047724846270313925,0.0034831534364020422,0.00033004623298216185,0.03879601659781773,0.04398489659126337,0.05178586232382609,0.08919741621596278,0.0008797974354771698,0.1716310908937051,0.0017613699951738448,0.002317382727220818,0.0020106621832077787,0.0009021350870939138
joy,3,0.030335262801479846,0.013261593770370839,0.003286553575995055,0.0007633227393696318,0.0003946277843071,0.001746434373210204,0.0005686521709846737,0.0012895034808604322,0.0013224377711396063,0.0028328098394220236,1.2862746885611287e-05,0.0023756694720389326,0.00020079719654242378,8.427180129766398e-05,0.006398748684502964,0.00016350144409715828
joy,4,0.023697917456109108,0.1468423933355365,0.04097775983011642,0.002720548448020277,0.0013217178517062056,0.0007304287519696029,0.025804245583084584,0.04298472776851903,0.04107464904636271,0.06582797587516231,5.214841201361953e-05,0.13509564347419056,0.001886202159956829,0.0036327028937334083,6.815845932983677e-06,2.333640066631837e-06
joy,5,0.018967421671782645,0.007975774755531129,0.0008113713485974339,0.00043022035750195364,0.0005311374649692446,8.62301829537282e-05,0.0009055740699283055,0.0009795343553939961,0.00030599517580365276,0.00026523407622935924,3.236686950180978e-05,4.284106281138289e-05,1.7800414551905064e-05,0.0016480452972729154,7.01365470145987e-08,0.00018798186331892008
trust,1,0.15765948599718432,0.12210188210829553,0.0027868509823001375,6.634488686607654e-05,0.010181902882978155,0.0050320042735833015,0.005318679470576182,0.0011404737691586009,0.01805957244556844,0.024341549869894563,0.0019560347044754733,0.05755042613500139,0.01615291689445486,0.00011255821688460621,0.042733374778017086,1.6158544302813382e-05
trust,2,0.047220819560794415,0.03558323821540654,0.013385008217195682,0.0019997260646941184,0.0007369369745185983,2.7403946045057026e-05,0.011202310853736908,0.0008373186076301442,0.012245917603394552,0.01931989261360867,0.00026890031472237563,0.024866954164473265,1.960286905688946e-05,0.006794054980828523,0.00035617432094769974,8.01311598186416e-08
trust,3,0.03043026244654149,0.10377542769214465,0.03241423655597597,0.006299399027197228,0.0026231096636053497,4.125079563510603e-05,0.01336320770666688,0.0014445456922639321,0.026605073976806004,0.04013222981094111,0.001078189510530625,0.09232538143295288,0.003551727897488588,0.005691109854627396,7.917269416735095e-06,0.0002028786518901704
trust,4,0.024858316198715515,0.08694787700435525,0.03010375719057612,0.006095489007804877,0.00012375814592890944,0.0008328632374833278,0.008255503868800473,0.0017806700774968265,0.02540204724881978,0.0336686522828763,0.0002797569978922887,0.08007217965631719,0.0013804210144696683,0.0004950400710055369,7.653638207272273e-05,2.808274702759128e-05
trust,5,0.021782675944510575,0.03651869469389135,0.009130421198058292,0.000761796515799773,0.0001366463385178429,0.002844392814613239,0.016654161080693397,0.00048497262067725977,0.006784317383400462,0.00918322553372486,0.00010850180400534537,0.017689600507986403,0.0005252129537097749,0.005862013040530578,0.0018257435085919926,0.0016826233951144909
fear,1,0.09112966458754698,0.04639447300558708,0.009438625840631265,0.0007836561392114971,0.0012306063890650254,0.0006642328274590881,0.002771313274441911,0.0002783476524477191,0.004155922943272383,0.008935825187131319,0.00019617696960516628,0.023405878200221775,0.0003443708894789177,0.0008775496019489681,0.017205368158012546,0.000334058444655394
fear,2,0.04447324632893604,0.049656375960960286,0.006382179309877722,0.00027075583541325,4.5894500684706685e-05,0.0005122940344084448,0.003626464467680446,0.0006446140816197543,0.0033027018138884756,0.01128669479095612,4.951667697317141e-06,0.02669014540230208,0.0021608883516679445,0.0003172269905079572,0.016402252449361554,0.0009563471051873274
fear,3,0.03793641158687813,0.03784894793457405,0.0023480150091901297,0.002929704880384132,0.000651889852230747,7.71259711850325e-05,8.249816436123325e-05,4.146844554975271e-05,0.00016029467851075285,0.002302863721447168,9.533655322391255e-05,0.009919299657907055,0.00505516685397045,0.005880708418148806,0.010789667824148474,0.001506541781635673
fear,4,0.030752648691390015,0.02917915000860538,0.008044654814895913,5.6567240864335844e-05,0.0011197038751602495,9.784787565958464e-05,0.004592767833980216,0.0002562102311673975,0.0019757390823050835,0.006161452693655756,7.640515974571827e-06,0.020970572968979084,0.0005921688413076387,0.0001930851662136357,7.6169260156966345e-06,0.004068178958539281
fear,5,0.023776075785548988,0.21900112885735978,0.046068608479664985,0.014153812364777751,1.1276840058527249e-05,3.140174187465927e-05,0.04234582312431556,0.004860154857020738,0.09078783323003758,0.09906613119282881,0.0028552643063303185,0.16820539489057684,0.010457235071795301,0.016917333423461467,0.009887311233262253,1.4456673644858142e-06
surprise,1,0.07598497897908195,0.1114940725584963,0.015260515449447287,0.0015219575450908795,0.002204955023391242,0.008713243722261899,0.021290059255783422,0.011293907574893569,0.05179000649268428,0.05038263974228108,0.00010560490710442849,0.0920260424068714,0.0030278006681335734,0.0008727600432739679,0.005187524816070654,1.1265709007890479e-06
surprise,2,0.05838587969287567,0.24145197289129638,0.08891129174657353,0.013572167902646481,0.0018224051711257516,0.0009854580742385544,0.06561575755830984,0.011951979833097925,0.06163595936424404,0.09490981915156604,0.002458383608925696,0.21767499561381987,0.008798203811272498,0.006073409321358136,0.00010815732660651722,3.014002533552329e-06
surprise,3,0.04359165889325361,0.052631656016759676,0.0029499260521398396,0.0002571437453228187,0.0031671941599947795,0.004084654498644036,0.009013892956521663,0.00020148941445763402,0.025856053103558874,0.02565419299895977,3.915075732963125e-05,0.020348456762194767,0.004018153990091089,0.0023251935707127025,0.007644678355002488,0.0030981084472120335
surprise,4,0.03586620930963243,0.07076024070216103,0.00862434024054215,0.0030194597285799762,1.967761955712355e-06,0.004582719562390536,0.005042323692656003,0.005432243748797361,0.0069803947704453195,0.007170200915336045,0.00019445824102182208,0.015148732297681988,0.010569000830898512,0.002394245321886812,0.021693316827274822,0.0034951460221964714
surprise,5,0.02761909195613464,0.06607173425123636,4.052225233797113e-05,0.0002345316556616739,0.00026624308833655963,0.006521059991747902,0.0065500318732673035,0.026504129402694643,0.019366112958756787,0.01066569041567722,0.0006330317883272985,0.007844668961141665,0.001271353001057296,0.015813798549501934,8.483842614426251e-06,0.0016742660625634898
sadness,1,0.13637686618483208,0.05422305395231841,0.004354178429211597,0.0009938404117865174,0.0006112610405394348,0.001812895953653193,0.0006648398889079754,0.0001492134121061639,0.0018790936368291433,0.0019924465457401563,0.00013024421187224355,0.005897217666236743,0.009544312171313463,0.0013901668247802146,0.029564622411821118,0.00016657915718942817
sadness,2,0.04318857374459368,0.06450412720870258,0.019416213061072107,0.008845521890483488,0.0002455421704895544,0.002194904536445219,0.0056988095240279035,0.0004103038791484215,0.014489205257489535,0.01847130627132265,0.00012048807570075315,0.05184366928911843,0.0031347808571812186,0.00034862147639525,0.005219966900684048,0.00018459289762096098
sadness,3,0.03243664813352784,0.010845379757065121,0.000541819059286297,0.0011100955347951302,0.0010916341571332033,0.0037990359683170993,0.0002687832443044602,1.0105308258845369e-05,0.0006168707066969148,0.0009091313638592835,0.001412066066717954,0.00047774593131821863,0.00035191062637851545,0.002569439806036744,0.00012420634075194226,0.0008239170429289455
sadness,4,0.026217183481862166,0.157399838729104,0.03430953403498094,0.007161874728799478,0.0008529473365860296,0.001094240929207957,0.026788590587910388,0.001524960997150493,0.040485510948400805,0.05853057604612122,0.0008685828055498002,0.14550805290256597,0.00458527265255404,0.001908990128416499,0.002505303762773803,5.7992728133005045e-05
sadness,5,0.02369888022855465,0.04234593866209735,0.015815935432643702,0.0010952585443001484,0.00017610365671050232,0.00027722677209052193,0.018126253825632155,0.00011355200611373739,0.01314053625378686,0.020114295521512338,0.0007156841542228509,0.03269373195837155,0.00024066702198854983,0.002381076987842956,0.001140237293288271,0.0006842113102258907
disgust,1,0.13008020635518888,0.06390180244599997,0.0065768308866887,0.0004990554232379152,0.0013416233247911524,1.9636144682033674e-05,0.004969937429582627,5.5388910725540086e-05,0.006563084718975154,0.005493683063899857,0.0012495615120304837,0.011373152638355033,0.010963776775681944,0.0008866987415684369,0.03177543331450838,0.00010259101215892574
disgust,2,0.04481148654176688,0.008158293491822954,0.00014770196484947817,0.000234545630298566,8.93349976239799e-05,0.00016387966577957602,0.0022312118275865656,5.232517959352645e-05,0.00046274892427766723,0.00038969882285511126,1.6107243453578057e-05,6.144563004129022e-05,0.00028424743082855475,7.325235195987378e-05,0.0040457755792151495,4.5748680025603505e-05
disgust,3,0.031956791845304124,0.009006151668207618,0.0015587916977973792,0.0006375996199302625,0.003073574497908127,0.00327498878341137,0.0017724829662830732,1.1101485286602042e-09,2.1454411179178123e-05,0.00021725672760819492,5.768357953517267e-07,4.924635849923309e-05,0.0007200236051305708,2.08793532385787e-06,0.00140551094100827,4.347972463902838e-05
disgust,4,0.026323299640438468,0.011544652194214633,0.0020061333048732033,1.7268760199584676e-08,1.627993779151904e-05,0.0005357144005716519,0.0011462268583197766,0.000155271799847978,2.363927337689642e-05,0.0001567049979175339,0.00012656261325250107,0.002955209386662716,3.303357604800272e-05,0.004598025226697722,0.00024640288435384683,0.0003956844389011449
disgust,5,0.024979020815902003,0.016132235422858132,0.002121575730696046,0.0002740662366024216,0.0022171307408151986,0.0016952752977831276,0.00423327198785417,0.0001295885711137812,0.0021081865223600005,0.0028093620501582484,0.0017829863011080693,0.009592748321451183,3.065027585935631e-05,0.0007564279360113835,0.00010180815511029451,0.00047832560371641186
anger,1,0.1073905447367896,0.06327067754729898,0.005444328275933108,5.423935681703185e-07,0.0005992920947073266,0.0007268674694493882,0.002669437566948485,0.001052030329403264,0.002875099176598339,0.0028736766359332977,0.0023319937193888585,0.0073009911393899785,0.009899768303437528,0.0004128894286108409,0.0326835546193498,7.184514331126657e-06
anger,2,0.049258508179582966,0.019579367193698904,0.0003280106588514631,2.7821550618867263e-05,4.987111912224673e-05,0.001216668745423255,0.0043963693779864865,0.002785853293889251,0.01135037946788131,0.0047083020397068465,1.9614737692075224e-05,0.004328223962303146,4.288953089603975e-05,0.0021762841067947125,0.0006669024532688361,6.857751459055095e-05
anger,3,0.033798779509581434,0.030941584636708486,0.0011970221425973149,0.00010236796307427909,0.0017164309264126043,0.00397233857475543,0.0005224661787430751,0.0017339565992815498,0.014400935348528932,0.011737329309855382,0.0009880779874331669,0.013975992186773478,0.0013455909105258845,0.003386734570873906,0.0002948214038656083,0.00017105919264770453
anger,4,0.025789353522268257,0.24314010786564488,0.04705894349037276,0.00560005828427379,1.2824203001748913e-06,0.004219313938199187,0.05380644798700862,0.014977215450022174,0.08809642904578541,0.09568016908936028,0.0014400670932344095,0.20657229080781547,0.0019105680320674612,0.007675766891034108,0.009913205105903988,0.004564722660614806
anger,5,0.023279818750339264,0.014757078721898464,0.0017087448537826955,0.000144900639759582,2.4614302657322007e-05,0.0005911137161113134,0.000673590913410349,0.0003504718541225138,0.010090110678132924,0.004332659777195436,0.0002857079573943544,0.005045169143494399,0.0004007302100548227,7.356584566409197e-05,0.001230524656295806,8.77733030678618e-05
anticipation,1,0.10765981541436975,0.08669263766702417,0.0019358238226976354,2.3648891109728787e-05,0.005214397537765536,0.00681179732920989,0.0024799460476304658,0.006058949248475276,0.011148250843074026,0.01547532872275259,9.926730546283569e-05,0.0341290745301247,0.014300973837840458,0.000553113035605568,0.033737194568395634,3.1250646561731266e-05
anticipation,2,0.06095758790158163,0.010046599171901205,0.001522571719297594,0.0035713078816849153,0.0002314895315552734,0.00025284468801811677,8.834369816113075e-05,0.0007902429078093798,0.0015298883133638697,0.0016087727649253258,3.2304144891193154e-05,0.0046212858472504115,0.0008358439638401771,1.8147145271152354e-05,9.800339815846382e-05,3.585383877324766e-05
anticipation,3,0.03412564780546703,0.019555156073155833,0.005490052003614299,0.0028490826438815064,4.889411445729852e-05,0.0011248453714570728,0.00019115014819459653,0.00042152376732385033,0.0012014540568818788,0.002628391290643184,0.00016887023495049114,0.012500851672863522,9.602604096492495e-05,7.304370264193949e-08,0.0038597625928682433,5.8479793654586665e-05
anticipation,4,0.03191473365508708,0.007895032945952174,0.0004046927386289756,0.0012414012342093494,1.2827888866029369e-05,0.00011357145688917214,0.0005413182863052146,0.0009639567552773842,0.0017344881772553,0.001124701311453924,0.0001884491601409355,0.0024060843941683396,0.00017704098445936456,2.9027742504350584e-05,0.002029328857894974,0.0006628868162744661
anticipation,5,0.02687657352021224,0.08337932751098831,0.021515981467388312,0.004574725288382209,0.0007423506172403727,0.00029545271565578624,0.017351021020450386,0.004783291168190984,0.02147245873257131,0.027952802287915968,0.00036964047267340483,0.0737123502435727,0.0003399601666425056,0.004417077854603213,0.0023901661456521284,9.80829972130337e-07
