emotion,pc,evr,max_cos_neutral,mean_cos_neutral_top5,argmax_neutral_pc,neutral_pca_evr_at_argmax
joy,1,0.2269553630692562,0.02958450984537112,0.0180643965648724,10,0.014159748390659213
joy,2,0.04671384532906063,0.032512557480019244,0.02648309132019781,14,0.010248580608541542
joy,3,0.030335262801479846,0.029614009023944024,0.024816757018110196,2,0.06859289954836607
joy,4,0.023697917456109108,0.02937075789310479,0.02583726365415583,1,0.09992118720953537
joy,5,0.018967421671782645,0.042012819563001895,0.035181366900720226,19,0.006835805850805019
trust,1,0.15765948599718432,0.03450638087925232,0.02072671664300759,10,0.014159748390659213
trust,2,0.047220819560794415,0.029165520522066314,0.025311003743005756,18,0.007610575962093275
trust,3,0.03043026244654149,0.03554268377788546,0.02559826698125691,3,0.04771913314968577
trust,4,0.024858316198715515,0.026255403312417415,0.022563805157471716,9,0.016446948096127675
trust,5,0.021782675944510575,0.02732241417924645,0.022142995199972974,14,0.010248580608541542
fear,1,0.09112966458754698,0.03618201538542323,0.02493056645881615,3,0.04771913314968577
fear,2,0.04447324632893604,0.02868383328874019,0.024353062910901013,14,0.010248580608541542
fear,3,0.03793641158687813,0.04193284582813736,0.025384711000477324,7,0.020363136144499843
fear,4,0.030752648691390015,0.06143968247499318,0.028759340753813024,3,0.04771913314968577
fear,5,0.023776075785548988,0.029709973223527406,0.026824553507439612,16,0.008596917480974445
surprise,1,0.07598497897908195,0.0306790129452369,0.026308320564505817,12,0.01199884575939712
surprise,2,0.05838587969287567,0.03281327901986607,0.02659065284458991,16,0.008596917480974445
surprise,3,0.04359165889325361,0.02938684932740699,0.023229777395563443,12,0.01199884575939712
surprise,4,0.03586620930963243,0.03135627997335961,0.02486309985387148,9,0.016446948096127675
surprise,5,0.02761909195613464,0.051064864803474996,0.0375741850412403,3,0.04771913314968577
sadness,1,0.13637686618483208,0.031263430953877853,0.02026383654866264,10,0.014159748390659213
sadness,2,0.04318857374459368,0.02668101098214937,0.02292402500639439,18,0.007610575962093275
sadness,3,0.03243664813352784,0.03994660834149344,0.024843686074528543,3,0.04771913314968577
sadness,4,0.026217183481862166,0.04865535997986396,0.024964356388520296,7,0.020363136144499843
sadness,5,0.02369888022855465,0.022737847595369322,0.018795786615133248,15,0.010011894933340888
disgust,1,0.13008020635518888,0.030037811011007803,0.021634292177009237,10,0.014159748390659213
disgust,2,0.04481148654176688,0.028259150512610846,0.023481302646861473,17,0.007878275204545749
disgust,3,0.031956791845304124,0.033302895130999904,0.023166919903087176,3,0.04771913314968577
disgust,4,0.026323299640438468,0.03266896722318803,0.02317910875634121,4,0.044241250208828645
disgust,5,0.024979020815902003,0.022138914630828125,0.020074388448590712,5,0.03202707311188123
anger,1,0.1073905447367896,0.027609520964449588,0.02154747698703631,10,0.014159748390659213
anger,2,0.049258508179582966,0.03298042610721953,0.026230389282754785,3,0.04771913314968577
anger,3,0.033798779509581434,0.03384368243589473,0.027283719487577397,2,0.06859289954836607
anger,4,0.025789353522268257,0.03751481525547286,0.024592549103728018,6,0.02580385220370181
anger,5,0.023279818750339264,0.042934095868090216,0.02697831646382607,7,0.020363136144499843
anticipation,1,0.10765981541436975,0.029641808316677665,0.024645972991620153,18,0.007610575962093275
anticipation,2,0.06095758790158163,0.0339997502303551,0.02361981996327881,14,0.010248580608541542
anticipation,3,0.03412564780546703,0.054242559292039534,0.036045720597728814,3,0.04771913314968577
anticipation,4,0.03191473365508708,0.03194535800478286,0.0253534565577747,7,0.020363136144499843
anticipation,5,0.02687657352021224,0.028514353530979666,0.021274294550455392,16,0.008596917480974445
