emotion,pc,evr_full,evr_filtered,cos_full_filtered,matched_filtered_pc,n_sources_full,n_sources_filtered
joy,1,0.22695544362068176,0.20682215690612793,0.9982311725616455,1,22782,2775
joy,2,0.04671381041407585,0.04965665191411972,0.9926806688308716,2,22782,2775
joy,3,0.030335234478116035,0.03175969049334526,0.9780653119087219,3,22782,2775
joy,4,0.023697957396507263,0.024572744965553284,0.9721361994743347,4,22782,2775
joy,5,0.01896742731332779,0.01919502019882202,0.7910783290863037,5,22782,2775
trust,1,0.15765944123268127,0.14298471808433533,0.996677815914154,1,22782,2775
trust,2,0.047220826148986816,0.045892179012298584,0.9932175278663635,2,22782,2775
trust,3,0.030430231243371964,0.03205627575516701,0.9598405361175537,3,22782,2775
trust,4,0.024858344346284866,0.025332048535346985,0.9534274339675903,4,22782,2775
trust,5,0.021782709285616875,0.021160341799259186,0.8956581950187683,5,22782,2775
fear,1,0.09112968295812607,0.08559208363294601,0.9949624538421631,1,22782,2775
fear,2,0.04447326809167862,0.04366442561149597,0.9525523781776428,2,22782,2775
fear,3,0.037936411798000336,0.034465525299310684,0.8984525799751282,3,22782,2775
fear,4,0.030752625316381454,0.029409417882561684,0.9370704889297485,4,22782,2775
fear,5,0.02377607673406601,0.02552839182317257,0.9695644378662109,5,22782,2775
surprise,1,0.07598491758108139,0.07638882845640182,0.9540285468101501,1,22782,2775
surprise,2,0.058385878801345825,0.054617974907159805,0.9489156603813171,2,22782,2775
surprise,3,0.043591663241386414,0.04293372482061386,0.9874089956283569,3,22782,2775
surprise,4,0.035866204649209976,0.03475838527083397,0.9626990556716919,4,22782,2775
surprise,5,0.027619117870926857,0.02754618227481842,0.4400100111961365,5,22782,2775
sadness,1,0.13637687265872955,0.1214045062661171,0.996307373046875,1,22782,2775
sadness,2,0.04318859055638313,0.04435821622610092,0.9834521412849426,2,22782,2775
sadness,3,0.032436612993478775,0.03401486203074455,0.9830215573310852,3,22782,2775
sadness,4,0.026217201724648476,0.027755435556173325,0.9678983688354492,4,22782,2775
sadness,5,0.023698857054114342,0.02325873263180256,0.907752513885498,5,22782,2775
disgust,1,0.13008014857769012,0.11761234700679779,0.9955861568450928,1,22782,2775
disgust,2,0.04481148719787598,0.04509362205862999,0.9867157936096191,2,22782,2775
disgust,3,0.03195678070187569,0.032179780304431915,0.90815669298172,3,22782,2775
disgust,4,0.02632327564060688,0.02789943665266037,0.8963297009468079,4,22782,2775
disgust,5,0.02497899904847145,0.026082975789904594,0.950801432132721,5,22782,2775
anger,1,0.10739050805568695,0.09467755258083344,0.9932648539543152,1,22782,2775
anger,2,0.04925847798585892,0.05035516619682312,0.9921661019325256,2,22782,2775
anger,3,0.03379877284169197,0.03440425172448158,0.9799113869667053,3,22782,2775
anger,4,0.025789333507418633,0.028083886951208115,0.9735907316207886,4,22782,2775
anger,5,0.023279832676053047,0.024145344272255898,0.8367078304290771,5,22782,2775
anticipation,1,0.10765982419252396,0.10144300758838654,0.994364857673645,1,22782,2775
anticipation,2,0.060957588255405426,0.054354697465896606,0.9853184223175049,2,22782,2775
anticipation,3,0.0341256707906723,0.03558450937271118,0.9584891200065613,3,22782,2775
anticipation,4,0.03191472589969635,0.030715540051460266,0.9386144876480103,4,22782,2775
anticipation,5,0.026876572519540787,0.027275722473859787,0.9704732298851013,5,22782,2775
