label,emotion,pc_num,best_cross_label,best_cross_emotion,best_cross_abs_cos,best_same_label,best_same_abs_cos,sharing_score
joy_PC1,joy,1,anger_PC1,anger,0.8744929908155168,joy_PC5,2.1412992906588713e-17,4.0839363027409304e+16
joy_PC2,joy,2,trust_PC2,trust,0.8038050233710342,joy_PC5,2.0816681711721685e-17,3.861350403981144e+16
joy_PC3,joy,3,anger_PC3,anger,0.8705818120932481,joy_PC4,2.1337098754514727e-16,4080132084072776.5
joy_PC4,joy,4,surprise_PC3,surprise,0.3717446081970764,joy_PC3,2.1337098754514727e-16,1742245337447382.8
joy_PC5,joy,5,sadness_PC5,sadness,0.3714651062484538,joy_PC4,1.6653345369377348e-16,2230573485442237.8
trust_PC1,trust,1,disgust_PC1,disgust,0.8858370409963008,trust_PC3,4.756937031780151e-17,1.8622004770679108e+16
trust_PC2,trust,2,joy_PC2,joy,0.8038050233710342,trust_PC5,5.377642775528102e-17,1.4947162854120558e+16
trust_PC3,trust,3,joy_PC3,joy,0.8037187283793552,trust_PC5,1.5178830414797062e-16,5294997746307588.0
trust_PC4,trust,4,sadness_PC5,sadness,0.5955229716329817,trust_PC5,5.67471417078913e-16,1049432541815877.6
trust_PC5,trust,5,fear_PC2,fear,0.43237037426288194,trust_PC4,5.67471417078913e-16,761924497428486.6
fear_PC1,fear,1,disgust_PC1,disgust,0.8386646344237931,fear_PC5,1.7780915628762273e-17,4.716656059416736e+16
fear_PC2,fear,2,anger_PC2,anger,0.8587388387140202,fear_PC4,3.2959746043559335e-17,2.605417036827644e+16
fear_PC3,fear,3,disgust_PC5,disgust,0.6199295886696246,fear_PC4,2.393918396847994e-16,2589602007678577.0
fear_PC4,fear,4,sadness_PC3,sadness,0.8287221149851425,fear_PC3,2.393918396847994e-16,3461780969962460.0
fear_PC5,fear,5,disgust_PC4,disgust,0.4561487952605739,fear_PC4,6.666488108070245e-17,6842415194716603.0
surprise_PC1,surprise,1,sadness_PC1,sadness,0.7425534628715882,surprise_PC2,6.071532165918825e-17,1.2230083652356228e+16
surprise_PC2,surprise,2,anger_PC3,anger,0.6398886415441026,surprise_PC1,6.071532165918825e-17,1.0539162505569402e+16
surprise_PC3,surprise,3,sadness_PC2,sadness,0.6552419882315859,surprise_PC4,2.983724378680108e-16,2196054008585877.5
surprise_PC4,surprise,4,anger_PC4,anger,0.39693901829221684,surprise_PC3,2.983724378680108e-16,1330347471530893.5
surprise_PC5,surprise,5,sadness_PC3,sadness,0.4351066113629308,surprise_PC4,1.3617579286417936e-16,3195183242273482.5
sadness_PC1,sadness,1,disgust_PC1,disgust,0.9220525739327351,sadness_PC2,4.380176776841438e-17,2.1050579027032572e+16
sadness_PC2,sadness,2,disgust_PC2,disgust,0.8904324711549685,sadness_PC1,4.380176776841438e-17,2.032868800781741e+16
sadness_PC3,sadness,3,disgust_PC3,disgust,0.9069758592499673,sadness_PC4,5.650861722994449e-16,1605022213796715.5
sadness_PC4,sadness,4,disgust_PC4,disgust,0.6098632030716172,sadness_PC3,5.650861722994449e-16,1079239296530591.0
sadness_PC5,sadness,5,trust_PC4,trust,0.5955229716329817,sadness_PC4,4.9439619065339e-16,1204546035935154.2
disgust_PC1,disgust,1,anger_PC1,anger,0.9498926204793189,disgust_PC5,2.42861286636753e-17,3.911255818635561e+16
disgust_PC2,disgust,2,anger_PC2,anger,0.9119825750956136,disgust_PC3,2.7755575615628914e-17,3.285763508295193e+16
disgust_PC3,disgust,3,anger_PC3,anger,0.9331399283576076,disgust_PC5,2.194425197110661e-16,4252320514667108.0
disgust_PC4,disgust,4,sadness_PC4,sadness,0.6098632030716172,disgust_PC5,3.3241638608405566e-16,1834636403626040.5
disgust_PC5,disgust,5,anger_PC5,anger,0.7413608552892893,disgust_PC4,3.3241638608405566e-16,2230217541387466.0
anger_PC1,anger,1,disgust_PC1,disgust,0.9498926204793189,anger_PC2,2.233456475320139e-17,4.253016035797891e+16
anger_PC2,anger,2,disgust_PC2,disgust,0.9119825750956136,anger_PC4,2.7755575615628914e-17,3.285763508295193e+16
anger_PC3,anger,3,disgust_PC3,disgust,0.9331399283576076,anger_PC4,6.47051856539349e-16,1442140871596217.8
anger_PC4,anger,4,trust_PC2,trust,0.46230061088172475,anger_PC3,6.47051856539349e-16,714472273295472.6
anger_PC5,anger,5,disgust_PC5,disgust,0.7413608552892893,anger_PC4,2.888314587501384e-16,2566759377587827.0
anticipation_PC1,anticipation,1,sadness_PC1,sadness,0.804621543866415,anticipation_PC3,3.838075690598686e-17,2.0964191660871216e+16
anticipation_PC2,anticipation,2,sadness_PC2,sadness,0.6687391623253801,anticipation_PC5,2.3418766925686896e-17,2.8555694859914804e+16
anticipation_PC3,anticipation,3,fear_PC4,fear,0.5907751244167198,anticipation_PC4,5.061055741162335e-16,1167296221639797.2
anticipation_PC4,anticipation,4,joy_PC3,joy,0.49649820112439463,anticipation_PC3,5.061055741162335e-16,981017057540582.6
anticipation_PC5,anticipation,5,anger_PC2,anger,0.5383390794364455,anticipation_PC4,4.0939474033052647e-16,1314963350535024.8
