source_id,emotion,score,pole,rank,axis_id
ed_all_50046,joy,2.6568331718444824,high,1,m1
ed_all_52465,trust,1.959228754043579,high,1,m1
ed_all_45469,fear,1.7437107563018799,high,1,m1
ed_all_12358,surprise,2.202944755554199,high,1,m1
ed_all_17518,sadness,2.0832552909851074,high,1,m1
ed_all_47499,disgust,2.1073150634765625,high,1,m1
ed_all_37882,anger,2.313676357269287,high,1,m1
ed_all_22668,anticipation,2.1033711433410645,high,1,m1
ed_all_45998,joy,-2.490893840789795,low,1,m1
ed_all_15252,trust,-2.396984100341797,low,1,m1
ed_all_60657,fear,-2.412381887435913,low,1,m1
dd_train_9393_0,surprise,-1.6548439264297485,low,1,m1
ed_all_53346,sadness,-2.672783851623535,low,1,m1
ed_all_48536,disgust,-2.2490110397338867,low,1,m1
ed_all_48033,anger,-2.0951595306396484,low,1,m1
ed_all_59475,anticipation,-1.8906984329223633,low,1,m1
ed_all_14825,joy,1.6542870998382568,high,1,m2
ed_all_20296,trust,1.6227561235427856,high,1,m2
ed_all_57583,fear,1.508784532546997,high,1,m2
ed_all_19291,surprise,2.391190528869629,high,1,m2
ed_all_15559,sadness,2.041423797607422,high,1,m2
ed_all_17944,disgust,1.676846981048584,high,1,m2
ed_all_48609,anger,1.790878415107727,high,1,m2
ed_all_47773,anticipation,1.84013032913208,high,1,m2
ed_all_61269,joy,-2.5187630653381348,low,1,m2
ed_all_43970,trust,-2.2121894359588623,low,1,m2
ed_all_48101,fear,-1.5243068933486938,low,1,m2
ed_all_61624,surprise,-0.9469366669654846,low,1,m2
ed_all_35971,sadness,-1.340837001800537,low,1,m2
ed_all_16961,disgust,-1.439319372177124,low,1,m2
ed_all_56268,anger,-1.5993350744247437,low,1,m2
ed_all_64548,anticipation,-2.0105533599853516,low,1,m2
dd_train_2546_0,joy,1.5974950790405273,high,1,m3
ed_all_31090,trust,2.084643840789795,high,1,m3
ed_all_52659,fear,2.3362202644348145,high,1,m3
ed_all_18742,surprise,1.3137023448944092,high,1,m3
dd_train_2478_0,sadness,1.8886035680770874,high,1,m3
ed_all_56405,disgust,1.520926833152771,high,1,m3
ed_all_63326,anger,2.3989291191101074,high,1,m3
ed_all_30870,anticipation,1.9559022188186646,high,1,m3
ed_all_7621,joy,-2.4623072147369385,low,1,m3
ed_all_6686,trust,-1.8842986822128296,low,1,m3
ed_all_52250,fear,-1.7025245428085327,low,1,m3
ed_all_26914,surprise,-1.9982523918151855,low,1,m3
dd_train_59_0,sadness,-1.595585584640503,low,1,m3
ed_all_8354,disgust,-1.7907447814941406,low,1,m3
ed_all_21710,anger,-1.5369431972503662,low,1,m3
ed_all_36365,anticipation,-1.547202229499817,low,1,m3
ed_all_25524,joy,1.4726917743682861,high,1,m4
ed_all_24211,trust,0.713977575302124,high,1,m4
ed_all_42243,fear,1.0090619325637817,high,1,m4
dd_train_10034_0,surprise,1.138084053993225,high,1,m4
ed_all_36526,sadness,1.7636640071868896,high,1,m4
dd_train_1620_0,disgust,1.3612823486328125,high,1,m4
dd_train_6178_0,anger,1.3332951068878174,high,1,m4
ed_all_21380,anticipation,0.8890336751937866,high,1,m4
ed_all_37053,joy,-1.0571110248565674,low,1,m4
ed_all_5022,trust,-1.39242684841156,low,1,m4
ed_all_13344,fear,-1.1251803636550903,low,1,m4
ed_all_44673,surprise,-1.0190870761871338,low,1,m4
ed_all_56901,sadness,-0.9694181680679321,low,1,m4
ed_all_39414,disgust,-1.2155694961547852,low,1,m4
ed_all_12696,anger,-1.113458514213562,low,1,m4
ed_all_27644,anticipation,-1.0280036926269531,low,1,m4
ed_all_24945,joy,1.4295003414154053,high,1,m5
dd_train_6399_0,trust,1.6611281633377075,high,1,m5
dd_train_10931_0,fear,1.0776333808898926,high,1,m5
ed_all_58247,surprise,1.2242839336395264,high,1,m5
ed_all_56958,sadness,0.9682278633117676,high,1,m5
ed_all_11084,disgust,0.8772761821746826,high,1,m5
ed_all_17720,anger,1.1460301876068115,high,1,m5
ed_all_48098,anticipation,1.4397979974746704,high,1,m5
ed_all_46329,joy,-1.0510311126708984,low,1,m5
ed_all_20551,trust,-0.9194769859313965,low,1,m5
ed_all_26523,fear,-1.324804425239563,low,1,m5
dd_train_7404_0,surprise,-1.4482322931289673,low,1,m5
ed_all_39457,sadness,-1.4979662895202637,low,1,m5
ed_all_46804,disgust,-1.5429415702819824,low,1,m5
dd_train_10207_0,anger,-1.4558006525039673,low,1,m5
dd_train_6361_0,anticipation,-0.9794991612434387,low,1,m5
